Item,Amount
SOURCES OF AVAILABLE FUNDS,
"Unobligated balance transferred from the National Labor Relations Board, 1934-35",304000
"Appropriations — Supplemental Appropriation Act, fiscal year 1936 — Salaries and expenses",275000
"Appropriations — Supplemental Appropriation Act, fiscal year 1936 — Printing and binding",15000
"Appropriations — Supplemental Appropriation Act, fiscal year 1936 — Subtotal",290000
"Deficiency Appropriation Act, fiscal year 1936",65000
Total (sources of available funds),659000
EXPENDITURES AND OBLIGATIONS,
Salaries,423619
Travel expense,58490
Communications,26090
Reporting,41720
Rentals,29799
Furniture and equipment,12363
Supplies and materials,11347
Special and miscellaneous,1642
Transportation of things,501
Total salaries and expenses,605571
Printing and binding,15000
Grand total obligations,620571
Allotment to be obligated in 1937,38429
Total available funds,659000
