row_label,Number of cases,Percentage of— / Total cases closed,Percentage of— / Total cases on docket,Number of workers involved,Percentage of— / Total number of workers involved in cases closed,Percentage of— / Total number of workers involved in cases on docket
"Cases pending June 30, 1937",665,,16.1,535491,,41.4
"Cases received July 1, 1937, to June 30, 1938",3473,,83.9,757517,,58.6
Total cases on docket,4138,,100.0,1293008,,100.0
Cases closed before issuance of complaint:,,,,,,
By settlement,1395,52.0,33.7,180613,24.0,13.9
By dismissal,424,15.8,10.3,45503,6.1,3.5
By withdrawal,737,27.5,17.8,192173,25.6,14.9
By transfer to other agencies,41,1.5,1.0,10262,1.4,.8
Total cases closed before issuance of complaint,2597,96.8,62.8,428551,57.1,33.1
Cases closed after issuance of complaint:,,,,,,
By settlement before hearing,24,.9,.6,4855,.6,.4
By settlement after hearing,31,1.1,.8,303457,40.4,23.4
By dismissal before issuance of Board decision,5,.2,.1,732,.1,.1
By withdrawal before issuance of Board decision,11,.4,.3,9238,1.2,.7
By intermediate report finding no violation,2,.1,,2,,
By compliance with intermediate report,2,.1,,140,,
By dismissal by Board decision,2,.1,,702,.1,.1
By compliance with Board decision,10,.3,.3,3558,.5,.3
Total cases closed after issuance of complaint,87,3.2,2.1,322684,42.9,25.0
"Total cases closed July 1, 1937 to June 30, 1938",2684,100.0,64.9,751235,100.0,58.1
"Cases pending June 30, 1938:",,,,,,
Before hearing,999,,24.1,370446,,28.6
After hearing:,,,,,,
Awaiting intermediate report,123,,3.0,46827,,3.6
Awaiting decision,228,,5.5,57841,,4.5
Awaiting compliance with cease and desist orders,104,,2.5,66659,,5.2
"Total cases pending June 30, 1938",1454,,35.1,541773,,41.9
