Mode of disposition,Number of cases,Percentage of — Total cases closed,Percentage of — Total cases on docket,Number of workers involved,Percentage of — Total number of workers involved in cases closed,Percentage of — Total number of workers involved in cases on docket
"Cases pending June 30, 1938",3778,,35.4,1302161,,53.2
"Cases received July 1, 1938, to June 30, 1939",6904,,64.6,1147284,,46.8
Total cases on docket,10682,,100.0,2449445,,100.0
Cases closed before formal action:,,,,,,
By settlement,2942,44.8,27.5,341142,33.2,13.9
By dismissal,803,12.2,7.5,116663,11.3,4.8
By withdrawal,1749,26.6,16.4,283068,27.5,11.6
Otherwise,40,.6,.4,18807,1.8,.7
Total cases closed before formal action,5534,84.2,51.8,759680,73.8,31.0
Cases closed after formal action:,,,,,,
By settlement before hearing,44,.7,.4,9312,.9,.4
By settlement after hearing,83,1.3,.8,24064,2.3,1.0
By dismissal before hearing,13,.2,.2,5642,.5,.2
By dismissal after hearing,26,.4,.3,5677,.6,.2
By withdrawal before hearing,35,.5,.3,5014,.5,.2
By withdrawal after hearing,56,.9,.5,16608,1.6,.7
By intermediate report finding no violation,9,.1,.1,840,.1,
By compliance with intermediate report,26,.4,.2,2983,.3,.1
By issuance of decisions and orders:,,,,,,
Certification,364,5.5,3.4,123172,12.0,5.0
Compliance,207,3.2,1.9,40726,3.9,1.7
Dismissal of complaint or petition,172,2.6,1.6,35691,3.5,1.5
Total cases closed after formal action,1035,15.8,9.7,269279,26.2,11.0
"Total cases closed July 1, 1938, to June 30, 1939",6569,100.0,,1028959,100.0,
"Cases pending June 30, 1939",4113,,38.5,1420486,,58.0
