row_label,Cases — Number,Cases — Percent of cases closed,Cases — Percent of cases on docket,Workers involved
"Cases pending, July 1, 1940",2911,,,1370919
"Cases received, July 1940-June 1941",9151,,,2373361
"Cases on docket, July 1940-June 1941",12062,,,3744280
"Cases closed, July 1940-June 1941",8396,100.0,69.6,2082036
Cases closed before formal action,7114,84.7,59.0,1457392
Cases closed before formal action: Cases settled,4097,48.8,34.0,656726
Cases closed before formal action: Cases dismissed,1000,11.9,8.3,349581
Cases closed before formal action: Cases withdrawn,1981,23.6,16.4,434496
Cases closed before formal action: Cases closed otherwise,36,.4,.3,16589
Cases closed after formal action,1282,15.3,10.6,624644
Cases closed after formal action: Cases closed before hearing,108,1.3,.9,16954
Cases closed after formal action: Cases closed before hearing: Cases settled,68,.8,.6,12226
Cases closed after formal action: Cases closed before hearing: Cases dismissed,8,.1,.1,1110
Cases closed after formal action: Cases closed before hearing: Cases withdrawn,31,.4,.3,3609
Cases closed after formal action: Cases closed before hearing: Cases closed otherwise,1,,,9
Cases closed after formal action: Cases closed after hearing,87,1.0,.7,17074
Cases closed after formal action: Cases closed after Board decision,855,10.2,7.1,455003
Cases closed after formal action: Cases closed after Board decision: Cases dismissed,218,2.6,1.8,50029
Cases closed after formal action: Cases closed after Board decision: Cases withdrawn,17,.2,.1,1703
Cases closed after formal action: Cases closed after Board decision: Cases closed by certification,518,6.2,4.3,351936
Cases closed after formal action: Cases closed after Board decision: Cases closed by compliance,79,.9,.7,41712
Cases closed after formal action: Cases closed after Board decision: Cases closed otherwise,23,.3,.2,9623
Cases closed after formal action: Cases closed after court action,232,2.8,1.9,135613
Cases closed after formal action: Cases closed after court action: Cases dismissed,14,.2,.1,11674
Cases closed after formal action: Cases closed after court action: Cases closed by compliance,188,2.2,1.6,111747
Cases closed after formal action: Cases closed after court action: Cases closed otherwise,30,.4,.2,12192
"Cases pending, June 30, 1941",3666,,30.4,1662244
