Month,All cases,Cases received / Unfair labor practice cases / Number,Cases received / Unfair labor practice cases / Percent of total,Cases received / Representation cases / Number,Cases received / Representation cases / Percent of total,Workers involved / Unfair labor practice cases,Workers involved / Representation cases
Total,10977,4967,45.3,6010,54.7,3296852,1901998
July,1013,466,46.0,547,54.0,175429,194225
August,1141,504,44.2,637,55.8,299718,152773
September,1104,470,42.6,634,57.4,202108,170794
October,1246,527,42.3,719,57.7,207808,151805
November,909,453,49.8,456,50.2,223800,117927
December,787,371,47.1,416,52.9,311700,88386
January,749,339,45.3,410,54.7,230323,126261
February,821,385,46.9,435,53.1,222542,154235
March,870,401,46.1,469,53.9,220207,273995
April,793,363,45.8,430,54.2,316430,143390
May,769,357,46.4,412,53.6,475253,144646
June,775,331,42.7,444,57.3,401534,182861
