Stage and method of disposition,All cases,Party filing / A. F. of L. affiliates,Party filing / C. I. O. affiliates,Party filing / Unaffiliated unions,Party filing / Individuals or employers
"Cases closed, total",11741,5215,5151,821,562
"Before formal action, total",9890,4422,4283,666,526
Adjusted,5828,2804,2577,311,142
Withdrawn,2879,1215,1265,203,196
Dismissed,1183,403,441,152,188
"After formal action, total",1851,793,868,155,35
Before hearing,119,36,71,10,2
Adjusted (before hearing),87,25,53,7,2
Withdrawn (before hearing),26,9,15,2,0
Dismissed (before hearing),6,2,3,1,0
After hearing,175,99,66,7,3
Adjusted (after hearing),53,20,28,4,1
Closed by compliance with Intermediate Report,27,10,17,0,0
Withdrawn (after hearing),82,66,12,3,1
Dismissed (after hearing),13,3,9,0,1
After Board decision,1557,658,731,138,31
Closed by compliance,316,123,178,4,12
Closed by certification,949,381,444,112,12
Withdrawn (after Board decision),41,30,10,0,1
Dismissed (after Board decision),237,119,91,22,5
Closed otherwise,14,5,8,0,1
