Stage and method,Cases / Number,Cases / Percent of cases closed,Cases / Percent of cases on docket,Workers involved
"Cases closed, total",6285,100.0,85.2,1895231
"Before formal action, total",4875,77.6,66.1,1168206
Adjusted,3420,54.4,46.4,715928
"Recognition (Adjusted, before formal action)",404,6.5,5.5,34092
"Consent election (Adjusted, before formal action)",2405,38.3,32.6,607311
"Pay-roll check (Adjusted, before formal action)",611,9.7,8.3,74615
Withdrawn (before formal action),1027,16.3,13.9,297494
Dismissed (before formal action),428,6.8,5.8,154784
"After formal action, total",1410,22.4,19.1,727025
Before hearing,92,1.5,1.2,24645
Adjusted (before hearing),68,1.1,.9,21668
"Recognition (Adjusted, before hearing)",9,,.1,361
"Consent election (Adjusted, before hearing)",59,.9,.8,21307
"Pay-roll check (Adjusted, before hearing)",0,,,0
Withdrawn (before hearing),21,.3,.3,2347
Dismissed (before hearing),3,.1,,630
After hearing,111,1.8,1.5,21159
Adjusted (after hearing),30,.5,.4,13586
"Recognition (Adjusted, after hearing)",4,,.1,216
"Consent election (Adjusted, after hearing)",25,.4,.3,13351
"Pay-roll check (Adjusted, after hearing)",1,,,19
Withdrawn (after hearing),79,1.3,1.1,6942
Dismissed (after hearing),2,,,631
After Board decision,1207,19.2,16.4,681221
Closed by certification,949,15.1,12.9,599271
After stipulated election (Closed by certification),199,3.2,2.7,160792
After ordered election (Closed by certification),743,11.8,10.1,425642
Without election (Closed by certification),7,.1,.1,12837
Dismissed (after Board decision),217,3.4,2.9,75603
After stipulated election (Dismissed),15,,.2,6602
After ordered election (Dismissed),102,1.6,1.4,31907
Without election (Dismissed),100,1.6,1.3,37094
Withdrawn (after Board decision),41,.7,.6,6347
