"Participating unions, with position on ballot",Number of elections and pay-roll checks,Elections won by petitioner / Number,Elections won by petitioner / Percent,Valid votes cast / Total,Valid votes cast / For A. F. of L.,Valid votes cast / For C. I. O.,Valid votes cast / For unaffiliated union,Valid votes cast / For no union,Percent of total votes cast for petitioner
"A. F. of L. affiliate, petitioner:",,,,,,,,,
No other party on ballot (A.F. of L. petitioner),1535,1224,79.7,169306,120960,,,48346,71.4
C. I. O. on ballot (A.F. of L. petitioner),234,111,47.4,80524,28700,45158,,6166,35.6
Unaffiliated on ballot (A.F. of L. petitioner),118,70,59.3,37517,18634,,5464,12719,49.7
C. I. O. and unaffiliated on ballot (A.F. of L. petitioner),18,12,66.7,9850,2598,5044,1774,434,26.4
"C. I. O. affiliate, petitioner:",,,,,,,,,
No other party on ballot (C.I.O. petitioner),1470,1275,86.4,444455,,200622,,90681,79.6
A. F. of L. on ballot (C.I.O. petitioner),371,246,66.3,220822,73620,109301,,16041,49.5
"Unaffiliated, petitioner:",,,,,,,,,
"Employer, petitioner:",,,,,,,,,
