Results,"July 1, 1942-June 30, 1943 / Number","July 1, 1942-June 30, 1943 / Percent","July 5, 1935-June 30, 1943 / Number","July 5, 1935-June 30, 1943 / Percent"
Cases decided by U. S. Circuit Courts of Appeals,96,100.0,440,100.0
Board orders enforced in full,60,62.5,231,52.5
Board orders enforced with modification,27,28.1,142,32.3
Board orders set aside,9,9.4,61,13.8
Remanded to Board,0,0,6,1.4
Cases decided by U. S. Supreme Court,4,100.0,41,100.0
Board orders enforced in full,3,75.0,30,73.2
Board orders enforced with modification,0,0,8,19.5
Board orders set aside,0,0,2,4.9
Remanded to Board,1,25.0,1,2.4
