Month,Cases received / Number / All cases,Cases received / Number / Unfair labor practice cases,Cases received / Number / Representation cases,Cases received / Percent of total / Unfair labor practice cases,Cases received / Percent of total / Representation cases,Cases received / Workers involved / Unfair labor practice cases,Cases received / Workers involved / Representation cases
Total,9543,3403,6140,35.7,64.3,5806610,2229861
July,937,383,554,40.9,59.1,621986,170087
August,911,399,512,43.8,56.2,473129,162979
September,807,318,489,39.4,60.6,443720,170185
October,718,254,464,35.4,64.6,489217,177985
November,639,249,390,39.0,61.0,252809,206651
December,574,225,349,39.2,60.8,403021,119558
January,734,291,443,39.6,60.4,510420,175552
February,760,247,513,32.5,67.5,556212,245204
March,915,288,627,31.5,68.5,447578,221603
April,918,282,636,30.7,69.3,604145,202829
May,778,214,564,27.5,72.5,441458,196501
June,852,253,599,29.7,70.3,562915,177727
