Division and State,Number of cases received in 1943 / All cases,Number of cases received in 1943 / Unfair labor practice cases / Number,Number of cases received in 1943 / Unfair labor practice cases / Percent of total,Number of cases received in 1943 / Representation cases / Number,Number of cases received in 1943 / Representation cases / Percent of total,Percent increase or decrease compared with 1942 / Unfair labor practice cases,Percent increase or decrease compared with 1942 / Representation cases
Mountain,259,82,2.4,177,2.8,-46.4,+6.0
Montana,22,8,.2,14,.2,-42.9,+7.7
Idaho,46,17,.5,29,.5,-45.2,+93.3
Wyoming,1,1,,0,0,-80.0,-100.0
Colorado,56,30,.9,26,.4,-33.8,-9.7
New Mexico,20,6,.2,14,.2,-57.1,-30.0
Arizona,42,9,.3,33,.5,-47.1,-23.3
Utah,17,1,,16,.3,-94.7,+100.0
Nevada,25,10,.3,15,.2,+150.0,+275.0
Pacific,982,303,8.9,679,10.9,-48.5,+6.3
Washington,139,42,1.2,97,1.6,-56.3,+31.1
Oregon,129,26,.8,103,1.6,-58.7,+25.6
California,714,235,6.9,479,7.7,-45.2,-.8
Outlying areas: Alaska,3,2,.1,1,,.0,+100.0
Outlying areas: Hawaii,12,9,.3,3,,-10.0,+100.0
Outlying areas: Puerto Rico,41,32,.9,9,.1,+966.7,+800.0
