row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
New England,704,186,7.2,518,7.8,-22.8,+16.1
Maine,52,15,.6,37,.6,+ 25. 0,+2.8
New Hampshire,31,6,. 2,25,.4,-25.0,-19.4
Vermont,48,11,. 4,37,.6,+83.3,+76.2
Massachusetts,394,103,40,291,4.3,-37.2,+22.3
Rhode Island,52,17,. 7,35,.5,-10.5,-23.9
Connecticut,129,34,1.3,95,1.4,+6.3,+13.1
Middle Atlantic,1985,555,21.6,1430,21.7,-30.1,-1.2
New York,1016,329,12.8,687,10.3,-19.4,-1.2
New Jersey,454,109,4.2,345,5.1,-4.2.6,-2.0
Pennsylvania,530,118,4.6,412,6.1,-40.1,-1.0
East North Central,2406,681,26.5,1725,20.1,-26.1,-6.6
Ohio,756,214,8.3,542,8.1,-28.9,+9
Indiana,289•,74,2.8,215,3.2,-35.1,+2.9
illinois,708,195,7.6,513,7.7,-26.4,-7.6
Michigan,463,143,5.6,320,4.8,-18.8,-28.9
Wisconsin,205,56,2.2,149,2.2,-15.2,+38.0
West North Central,836,234,9.1,602,9.1,-18.5,+16.4
Minnesota,120,27,1.0,93,1.4,-54.2,-16.2
lowa,150,43,1.7,107,1.6,+7.5 -14.8,+27.4
Missouri,398,i09,4.2,289,4.3,+120.0.,+33.2
North Dakota,24,10,.4,14,.2,,+133.3
South Dakota,13,7,.3,6,.1,+75.0,.0
Nebraska,61,16,.6,45,.7,+33.3,+7.1
Kansas,85,22,.9,63,.9,- 4E0,-7.4
