Regional Office,All cases / Fiscal year 1944,All cases / Fiscal year 1943,All cases / Percent increase or decrease,Unfair labor practice cases / Fiscal year 1944,Unfair labor practice cases / Fiscal year 1943,Unfair labor practice cases / Percent increase or decrease,Representation cases / Fiscal year 1944,Representation cases / Fiscal year 1943,Representation cases / Percent increase or decrease
Total,9176,9543,-3.8,2573,3403,-24.4,6603,6140,+7.5
Boston,653,618,+5.7,173,221,-21.7,480,397,+20.9
New York,1140,1370,-16.8,366,522,-29.9,774,848,-8.7
Buffalo,280,258,+8.5,70,64,+10.9,209,194,+7.7
Philadelphia,396,380,+1.6,76,123,-38.2,310,257,+20.6
Detroit,436,560,-22.1,137,162,-15.4,299,398,-24.9
Chicago,875,824,+6.2,243,264,-8.0,632,560,+12.9
Fort Worth,434,298,+45.6,117,125,-6.4,317,173,+83.2
Kansas City,383,276,+38.8,113,96,+17.7,270,180,+50.0
Los Angeles,322,250,+28.8,66,57,+15.8,256,193,+32.6
San Francisco,468,527,-11.2,96,195,-50.8,372,332,+12.0
