Status,Number of cases / Total,Number of cases / Identification of complainant or petitioner / A. F. of L. affiliates,Number of cases / Identification of complainant or petitioner / C. I. O. affiliates,Number of cases / Identification of complainant or petitioner / Unaffiliated unions,Number of cases / Identification of complainant or petitioner / Individuals or employers,Total number of workers involved
"All cases — Cases pending July 1, 1944",2599,952,1153,385,109,
All cases — Cases received July 1944-June 1945,9737,3828,4190,1434,285,
All cases — Cases on docket July 1944-June 1945,12336,4780,5343,1819,394,
All cases — Cases closed July 1944-June 1945,9092,3611,3989,1205,287,
"All cases — Cases pending June 30, 1945",3244,1169,1354,614,107,
"Unfair labor practice — Cases pending July 1, 1944",1206,408,565,141,92,2334801
Unfair labor practice — Cases received July 1944-June 1945,2427,846,1014,343,224,3161301
Unfair labor practice — Cases on docket July 1944-June 1945,3633,1254,1579,484,316,5496102
Unfair labor practice — Cases closed July 1944-June 1945,2308,786,985,311,226,3100048
"Unfair labor practice — Cases pending June 30, 1945",1325,468,594,173,90,2396054
"Representation — Cases pending July 1, 1944",1393,544,588,244,17,636119
Representation — Cases received July 1944-June 1945,7310,2982,3176,1091,61,1488967
Representation — Cases on docket July 1944-June 1945,8703,3526,3764,1335,78,2125086
Representation — Cases closed July 1944-June 1945,6784,2825,3004,894,61,1709270
"Representation — Cases pending June 30, 1945",1919,701,760,441,17,415816
