row_label,Number of cases / Total,Number of cases / Identification of complainant or petitioner / A. F. of L. affiliates,Number of cases / Identification of complainant or petitioner / C. I. O. affiliates,Number of cases / Identification of complainant or petitioner / Unaffiliated unions,Number of cases / Identification of complainant or petitioner / Individuals or employers,Total number of workers involved
All cases,,,,,,
"Cases pending July 1, 1945",3237,1205,1354,570,108,
Cases received July 1945-June 1946,12260,5600,5419,948,293,
Cases on docket July 1945-June 1946,15497,6805,6773,1518,401,
Cases closed July 1945-June 1946,10892,4816,4722,1116,238,
"Cases pending June 30, 1946",4605,1989,2051,402,163,
Unfair labor practice cases,,,,,,
"Cases pending July 1, 1945",1321,490,592,149,90,2478850
Cases received July 1945-June 1946,3815,1531,1834,239,211,4013876
Cases on docket July 1945-June 1946,5136,2021,2426,388,301,6492726
Cases closed July 1945-June 1946,2911,1164,1298,277,172,3703392
"Cases pending June 30, 1946",2225,857,1128,111,129,2789334
Representation cases,,,,,,
"Cases pending July 1, 1945",1916,715,762,421,18,497324
Cases received July 1945-June 1946,8445,4069,3585,709,82,1206338
Cases on docket July 1945-June 1946,10361,4784,4347,1130,100,1703662
Cases closed July 1945-June 1946,7981,3652,3424,839,66,1134179
"Cases pending June 30, 1946",2380,1132,923,291,34,569483
