Stage and method,Number of cases,Percent of cases closed,Percent of cases on docket
Cases on docket during the year,10361,,100.0
Total number of cases closed,7981,100.0,77.0
"Before formal action, total",5911,74.1,57.0
Before formal action — Adjusted,3877,48.6,37.4
Before formal action — Adjusted — Recognition,238,3.0,2.3
Before formal action — Adjusted — Consent election and cross check,3571,44.7,34.5
Before formal action — Adjusted — Prehearing election,68,0.9,0.6
Before formal action — Withdrawn,1594,20.0,15.4
Before formal action — Dismissed,426,5.3,4.1
Before formal action — Closed otherwise,14,0.2,
"After formal action, total",2070,25.9,20.0
After formal action — Before hearing,146,1.8,1.4
After formal action — After hearing,170,2.1,1.7
After Board decision,1754,22.0,16.9
After Board decision — Certified,1268,15.9,12.2
After Board decision — Dismissed,423,5.3,4.1
After Board decision — Withdrawn,61,0.8,0.6
