Case No.,Company name
21-R-2004,Santa Fe Springs Waste Water.
18-R-1340,Sargent & Co.
18-R-1271,Schaffer Transport Co.
9-R-2003,Schaible Foundry & Brass Works Co.
2-R-6262,Schleffelin & Co.
5-R-2007,"Schotland, A., Inc."
9-R-1601,"Schuler Axel Co., Inc."
8-R-2922,"Scott & Fetzer Co., The."
2-R-5766,Scott Paper Co.
19-R-1567,Scripps Manufacturing Co.
9-R-2134,"Seagrave Corp., The"
13-R-3334,Sealy Mattress Co.
8-R-2625,Sears Roebuck & Co.
8-R-2671,Sears Roebuck & Co.
10-R-1614,Sears Roebuck & Co.
10-R-1813,Sears Roebuck & Co.
10-R-1926,Sears Roebuck & Co.
16-R-1501,"Sears, Roebuck & Co."
18-R-1358,Sears Roebuck & Co.
19-R-1266,Seattle Gas Co.
11-R-603,Seeger Sunbeam Corp.
17-R-1188,Selwyn Shoe Mfg. Corp.
3-R-1651,"Senoso Paper Co., Inc."
16-R-1435,Sequin Milling Co.
11-R-872,"Servel, Inc."
20-R-1418,Setzer Box Co.
7-R-2090,"Shakespeare Co., & Shakespeare Co."
20-R-1325,"Shell Oil Co., Inc."
21-R-2831,Shephard Tractor & Equipment Co.
21-R-2655,Shephard Tractor & Equipment Co.
16-R-1371,Shippers Warehouse Co.
8-R-1979,"Shisik, L. E., Latex Products, Inc."
7-R-2393,"Shwayder Bros., Inc."
1-R-2725,"Sickles, F. W., Co."
2-R-5626,Simmons Co.
2-R-6246,Sinclair Refining Co.
13-R-3539,"Smith, A. O., Corp."
1-R-2599,"Smith, James, & Son."
2-R-6345,"Snell, Foster, D, Inc."
19-R-1659,Snow Peak Logging Co.
7-R-2087,"Snyder, B., W., Co., Inc."
13-R-3200,"Solar Mfg., Corp."
15-R-1573,"Solway Process Co., The"
7-R-2003,Solvey Process Co.
20-R-1250,"Sonotherm Mfg., Co., Inc."
6-R-1188,South West Pennsylvania Pipe Lines.
10-R-1701,Southeastern Telephone Co.
5-R-1797,Southern and Society of Virginia.
21-R-3156,"Southern California Edison Co., Ltd."
21-R-2811,Southern California Gas Co.
19-R-1379,Southland Cotton Oil Mill.
2-R-5079,"Spear Box Co., Inc."
1-R-2563,Spencer Shoe Corp.
11-R-958,Spicer Mfg. Corp.
5-R-2207,"Sprunt, Alexander, & Son, Inc."
2-R-6085,"Squibb, E. R., & Sons."
17-R-1220,"Stampfel, A. J."
10-R-1619,Standard Candy Co.
8-R-2132,Standard Oil Co.
20-R-1255,"Standard Oil Co., of California."
20-R-3312,"Standard Oil Co., of California."
21-R-3059,"Standard Oil Co., of California."
8-R-2133,"Standard Oil Co., of Ohio."
9-R-2100,"Standard Oil Co., of Ohio."
5-R-1915,Standard Overell Co.
9-R-1944,"Standard Register Co., The."
