row_label,Number of cases showing specific allegations,Percent of total
Subsections of Sec. 8 of the Act,,
Total,4232,100.0
8 (1),511,12.1
8 (1) (2),113,2.7
8 (1) (3),2144,50.7
8 (1) (4),2,
8 (1) (5),766,18.1
8 (1) (2) (3),93,2.2
8 (1) (2) (5),45,1.1
8 (1) (3) (4),20,.5
8 (1) (3) (5),474,11.2
8 (1) (2) (3) (4),2,
Subsections of Sec. 8 of the Act—Continued,,
8 (1) (2) (3) (5),52,1.2
8 (1) (2) (4) (5),1,
8 (1) (3) (4) (5),4,.1
8 (1) (2) (3) (4) (5),5,.1
8 (1),4232,100.0
8 (2),311,7.3
8 (3),2794,66.0
8 (4),34,.8
8 (5),1347,31.8
