row_label,All cases / Number of cases,All cases / Formal actions,Unfair labor practice cases / Number of cases,Unfair labor practice cases / Formal actions,Representation cases / Number of cases,Representation cases / Formal actions
Complaints issued,401,358,401,358,,
Notices of hearing issued,1535,1280,,,1535,1280
Cases heard,1675,1405,328,291,1347,1114
Intermediate Reports or proposed findings,296,265,296,265,,
Decisions issued,2005,1797,193,177,1812,1620
Decisions and Orders,143,134,143,134,,
Decisions and consent orders,50,43,50,43,,
Elections directed,911,735,,,911,735
Certifications or dismissals after stipulated elections,582,551,,,582,551
Dismissals on record,90,70,,,90,70
Certifications after prehearing elections and stipulations,80,80,,,80,80
Certifications and dismissals on record after prehearing elections,149,134,,,149,134
