row_label,Total elections and cross checks,Consent elections and cross checks,Stipulated elections and cross checks,Board-ordered elections,Prehearing elections
"Total, 1936-47",36969,24852,2348,8951,818
1936,31,22,,9,
1937,265,217,,48,
1938,1162,812,,340,
1939,746,481,,265,
1940,1192,676,,516,
1941,2568,1934,102,532,
1942,4212,3051,266,895,
1943,4153,2755,235,1163,
1944,4712,2902,301,1509,
1945,4919,2999,366,1554,
1946,5589,3796,467,1163,163
1947,6920,4829,571,876,644
"July 1-Aug. 21, 1947",510,378,39,82,11
