row_label,col_1
7-R-2880,"Frigid Food Products, Inc. Frontier Refining Co., The."
17-R-1661 1-11-8478,"Frost, D. 0., Co."
7-R-2472,"Fry, Lloyd A., Roofing Co."
10-R-1924,Fulton Bag & Cotton Mills.
4-R-2246,"G&AAircraft, Inc."
"13-R-1701,","Galeton Foundry Co., Inc."
18-R-1646,"Galloway Co., Inc., The."
1-R-3388,Gamma Leather Goods Co.
2-11-6859,Garden State Hosiery Co.
4-R-2378,"Garrett, George K., Co., Inc."
5-11-2648,Garrett Tobacco Co.
7-R-2809,"Gar Wood Industries, Inc."
5-R-2717,Gary Steel Products Corp.
5-11-2513,Gastonia Combed Yarn Corp.
13-R-4226,Gasway Corp.
18-11-3947,"Gaylord Products, Inc."
18-11-1785,"Gazette Co., The."
8-11-2517,"Geier, P. A., Co., The."
2-R-7071,Gem'old Corp.
3-R-1393,General Baking Co. (Bond Plant).
2-R-7105,General Cable Corp.
,General Dairy Equipment Co.
18-114650 1-R-8638,General Electric Co.
4-R-2109,General Electric Co.
6-R-1345,"General Electric Co., Bridgeville Glass Works."
8-R-2291,General Electric Co.
9-R-2495,"General Electric Co., Ken-Rad Division. General Electric Co."
13-R-4028 20-R-1938,General Electric Co.
18-Th-3967,"General Electric X-Ray Corp. General Mills, Inc., Larrowe Division."
8-R-2443,
8-R-1853,General Motors Corp.
,General Motors Corp.
7-1I-2511 9-11-2575,General Motors Corp.
,Motors
17-R-1761,General Corp. Petroleum
21-11-3461 21-11-8462,General Corp. General Petroleum Corp. of
9-R-2389,California. General Refractories Co.
,General Shale Products Corp.
10-11-2148 10-R-1958,General Shoe Corp.
2-11-6900,General Steel Products Corp.
11-R-1008,General Tire & Rubber Co. Gilbert Storage & Transfer
5-11-2817,Co.
19P-R-26,Gilchrist Timber Co.
9-R-2659,"Glidden Co., The."
,"Globe Co., The."
13-11-3959,
8-R-2503 3-R-1483,"Globe Steel Abrasive Co., The. Gloversville Knitting Co."
13-R-8688,"Goldblatt Bros, Inc. Bros., Inc."
,Goldblatt
13-11-4855 8-11-2616,Golden Age Beverage
1-R-3539,"Co. Gongdon, F. G., Co."
15-R-2080 9-R-2497,"Gooch, C. M., Lumber Co. Goodrich, B. F., Co., The. B. F.,"
9-R-2501,"Goodrich, Chemical Co. Goodrich, B. F., Co."
10-11-2506 18-R-3750,Goodrich Electric Co.
21-11-3736,"Goodyear Synthetic Rubber Corp. Co., The."
17-11-1696,"Grace Grace Line, Inc."
2-11-7889 20-R-1132,"Grace line, Inc. Grady, George, Press,"
,Rapids Cabinet
2-11-7712 7-11-2484,Inc. Grand Co.
18-11-1713,Great Lakes Pipe Line Co.
8-11-2288,"Great Lakes Towing Co.,"
,The.
