Subsections of Sec. 8 (b) of LMRA,Number,Percent
Total,749,100.0
8 (b) (1),90,12.0
8 (b) (2),70,9.4
8 (b) (3),41,5.5
8 (b) (4),184,24.6
8 (b) (5),3,.4
8 (b) (6),10,1.4
8 (b) (1) (2),150,20.0
8 (b) (1) (3),13,1.7
8 (b) (1) (4),61,8.2
8 (b) (1) (5),1,.1
8 (b) (1) (6),1,.1
8 (b) (2) (3),10,1.4
8 (b) (2) (4),6,.8
8 (b) (2) (5),1,.1
8 (b) (3) (4),3,.4
8 (b) (3) (6),1,.1
8 (b) (4) (5),2,0.3
8 (b) (4) (6),4,.5
8 (b) (1) (2) (3),38,5.1
8 (b) (1) (2) (4),27,3.6
8 (b) (1) (2) (5),1,.1
8 (b) (1) (2) (6),1,.1
8 (b) (1) (3) (4),2,.3
8 (b) (1) (3) (6),1,.1
8 (b) (1) (4) (5),1,.1
8 (b) (1) (4) (6),3,.4
8 (b) (2) (3) (4),2,.3
8 (b) (2) (3) (6),3,.4
8 (b) (2) (4) (6),1,.1
8 (b) (1) (2) (3) (4),10,1.4
8 (b) (1) (2) (3) (5),1,.1
8 (b) (1) (2) (3) (6),1,.1
8 (b) (1) (2) (4) (6),4,.5
