Division and State,All Cases,Unfair labor practice cases / NLRA C,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Representation cases / NLRA R,Representation cases / RC,Representation cases / RM,Representation cases / RD
West North Central,927,28,144,16,7,4,42,612,40,34
Iowa,67,4,12,5,0,0,5,36,2,3
Minnesota,73,3,24,6,3,3,2,27,16,10
Missouri,537,17,86,4,2,0,20,380,12,16
North Dakota,12,0,2,0,0,0,1,7,2,0
South Dakota,12,0,1,0,0,0,1,4,5,1
Nebraska,37,0,9,0,1,0,5,14,1,7
Kansas,98,4,10,1,1,0,8,20,68,2
South Atlantic,1061,33,366,32,15,1,78,463,31,42
East South Central,556,14,172,9,13,1,38,257,25,27
West South Central,619,21,135,13,10,0,59,330,12,39
Mountain,380,15,55,6,8,5,27,236,14,14
Pacific,1719,60,364,108,62,16,110,833,93,73
California,1293,54,276,97,57,15,82,591,68,53
Outlying areas,182,2,84,5,1,0,8,73,5,4
Hawaii,51,0,24,5,1,0,4,16,0,1
Puerto Rico,77,0,24,1,0,0,4,30,1,5
Nation-wide,5,0,0,0,0,0,0,0,0,0
