Industrial Group,All cases,Unfair labor practice cases / NLRA C,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Representation cases / NLRA R,Representation cases / RC,Representation cases / RM,Representation cases / RD
Total,10635,296,2553,438,243,68,643,5478,459,458
Manufacturing,6996,224,1725,309,87,14,463,3674,288,312
Manufacturing — Food and kindred products,1072,33,304,37,27,5,60,491,61,54
Manufacturing — Textile-mill products,418,11,152,13,4,0,36,191,9,2
Manufacturing — Apparel and other finished products,325,9,126,38,18,0,14,84,22,14
Manufacturing — Lumber and wood products,443,12,91,11,7,2,46,240,22,12
Manufacturing — Primary metal industries,357,7,110,8,5,0,16,184,14,26
Manufacturing — Fabricated metal products (except machinery and transportation equipment),537,27,97,11,1,0,40,319,22,20
Manufacturing — Machinery (except electrical),868,35,209,9,5,1,51,488,35,30
Manufacturing — Transportation equipment,500,26,145,8,1,1,31,253,10,24
Mining,213,7,28,16,6,0,28,104,12,12
Construction,341,4,50,47,45,28,3,151,11,2
Wholesale trade,627,12,138,11,9,1,25,333,49,49
Retail trade,633,7,111,12,7,0,28,343,49,21
"Finance, insurance, and real estate",174,0,79,4,4,0,0,78,2,8
"Transportation, communication, and other public utilities",1133,21,287,65,40,8,75,549,31,54
Services,473,15,131,27,22,6,14,215,19,24
"Agriculture, forestry, and fisheries",19,0,1,0,0,0,1,8,5,0
