Industrial group,Elections / Number,Elections / Percent,Winner — A.F. of L. / Number,Winner — A.F. of L. / Percent,Winner — C.I.O. / Number,Winner — C.I.O. / Percent,Winner — Unaffiliated / Number,Winner — Unaffiliated / Percent,Winner — No union / Number,Winner — No union / Percent,Eligible voters / Number,Eligible voters / Percent,Valid votes cast / Number,Valid votes cast / Percent
Mining,51,1.6,12,23.5,15,29.4,8,15.7,16,31.4,4637,1.2,4200,1.2
Mining — Metal mining,14,0.4,8,57.1,4,28.6,0,0,2,14.3,,,,
Mining — Coal mining,18,0.5,1,5.6,4,22.2,7,38.9,6,33.3,,,,
Construction,17,0.5,12,70.6,0,0,1,5.9,4,23.5,,,,
Wholesale trade,222,7.2,105,47.3,8,3.6,36,16.2,73,32.9,6919,1.8,6510,1.9
Retail trade,195,6.0,91,46.7,5,2.6,25,12.8,74,37.9,14033,3.6,13011,3.9
"Finance, insurance, and real estate",22,0.7,4,18.2,5,22.7,1,4.5,12,54.6,2112,0.6,1946,0.6
"Transportation, communication, and other public utilities",288,8.9,137,47.6,22,7.6,37,12.9,72,25.0,42380,11.1,35235,10.6
Transportation — Highway freight transportation,81,2.5,65,80.2,0,0,4,4.9,12,14.8,,,,
Transportation — Communications,88,2.7,22,25.0,13,14.8,13,14.8,22,25.0,16041,4.2,13898,4.2
Services,106,3.3,59,27.4,9,4.2,47,21.9,71,33.0,4938,1.3,4357,1.3
