Case-flow stage,Total,A. F. of L. affiliates,C I O affiliates,Unaffiliated unions,Individuals,Employers
"NLRA-C cases — Cases pending July 1, 1948",691,239,348,40,64,
"NLRA-C cases — Cases received July 1, 1948-June 30, 1949",,,,,,
"NLRA-C cases — Cases on docket July 1, 1948-June 30, 1949",691,239,348,40,64,
"NLRA-C cases — Cases closed July 1, 1948-June 30, 1949",337,110,152,38,37,
"NLRA-C cases — Cases pending June 30, 1949",354,129,196,2,27,
"CA cases — Cases pending July 1, 1948",1389,370,235,122,662,
"CA cases — Cases received July 1, 1948-June 30, 1949",4154,1485,764,436,1469,
"CA cases — Cases on docket July 1, 1948-June 30, 1949",5543,1855,999,558,2131,
"CA cases — Cases closed July 1, 1948-June 30, 1949",3380,1179,621,396,1184,
"CA cases — Cases pending June 30, 1949",2163,676,378,162,947,
"CB cases — Cases pending July 1, 1948",217,6,1,10,111,80
"CB cases — Cases received July 1, 1948-June 30, 1949",820,29,15,17,559,200
"CB cases — Cases on docket July 1, 1948-June 30, 1949",1037,35,16,27,670,289
"CB cases — Cases closed July 1, 1948-June 30, 1949",622,20,12,16,380,194
"CB cases — Cases pending June 30, 1949",415,15,4,11,290,95
"CC cases — Cases pending July 1, 1948",83,0,0,0,2,81
"CC cases — Cases received July 1, 1948-June 30, 1949",268,0,2,5,10,251
"CC cases — Cases on docket July 1, 1948-June 30, 1949",351,2,2,5,12,332
"CC cases — Cases closed July 1, 1948-June 30, 1949",250,2,2,0,10,233
"CC cases — Cases pending June 30, 1949",101,0,0,0,2,99
"CD cases — Cases pending July 1, 1948",19,0,0,1,1,16
"CD cases — Cases received July 1, 1948-June 30, 1949",72,7,1,3,3,58
"CD cases — Cases on docket July 1, 1948-June 30, 1949",91,7,1,3,4,74
"CD cases — Cases closed July 1, 1948-June 30, 1949",75,7,1,3,4,62
"CD cases — Cases pending June 30, 1949",16,2,0,0,2,12
