Industrial group,All cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union-shop authorization cases
Total,25874,4154,820,268,72,7521,479,370,12190
Manufacturing — total,15482,2441,312,89,25,4729,224,258,7304
Manufacturing — Food and kindred products,3392,411,48,17,2,833,42,45,1997
Manufacturing — Tobacco manufactures,42,9,0,0,0,13,3,1,16
Manufacturing — Textile-mill products,623,158,14,3,0,188,14,15,231
Manufacturing — Apparel and other finished products made from fabrics and similar materials,556,155,27,8,0,148,13,10,195
Manufacturing — Lumber and wood products,1025,162,11,10,8,323,17,10,484
Manufacturing — Furniture and fixtures,589,146,15,5,0,154,14,12,243
Manufacturing — Paper and allied products,601,76,5,2,1,200,8,6,303
"Manufacturing — Printing, publishing, and allied industries",1007,116,27,8,2,220,11,5,623
Manufacturing — Chemicals and allied products,785,113,15,5,1,307,15,19,326
Manufacturing — Products of petroleum and coal,317,92,7,4,2,85,12,9,106
Manufacturing — Rubber products,128,28,2,0,0,47,1,1,49
Manufacturing — Leather and leather products,380,59,19,3,0,95,3,2,199
"Manufacturing — Stone, clay, and glass products",604,72,6,1,0,179,12,14,320
Manufacturing — Primary metal industries,728,94,14,1,1,263,5,12,338
Manufacturing — Fabricated metal industries (except machinery and transportation equipment),1190,149,17,5,3,411,18,19,568
Manufacturing — Machinery (except electrical),1435,215,26,10,3,481,19,24,653
"Manufacturing — Electrical machinery, equipment, and supplies",536,94,10,1,0,217,17,12,185
Manufacturing — Transportation equipment — total,718,126,30,10,2,256,8,17,269
Manufacturing — Transp eq — Aircraft and parts,123,22,3,1,1,34,1,2,59
Manufacturing — Transp eq — Ship and boat building and repairing,154,19,13,1,0,40,4,5,61
Manufacturing — Transp eq — Automotive and other transportation equipment,441,85,14,8,0,162,3,10,157
"Manufacturing — Professional, scientific, and controlling instruments",181,24,0,0,0,86,0,3,68
Manufacturing — Miscellaneous manufacturing,645,142,16,7,0,212,12,7,249
"Agriculture, forestry, and fisheries",2,1,0,0,0,0,0,0,1
Mining — total,228,49,12,9,0,77,11,5,65
Construction,808,202,144,72,38,138,13,0,201
Wholesale trade,2397,258,48,26,1,637,32,28,1367
Retail trade,2607,345,74,22,0,638,90,23,1395
"Finance, insurance, and real estate",437,245,4,0,0,112,4,2,60
"Transportation, communication, and other public utilities — total",2915,432,140,37,9,713,70,40,1474
Service,946,181,80,4,1,259,31,9,381
