Division and State,Number of elections,Elections won by — A. F. of L. affiliates,Elections won by — C. I. O. affiliates,Elections won by — Unaffiliated unions,Elections won by — No union,Eligible voters,Valid votes cast for — Total,Valid votes cast for — A. F. of L. affiliates,Valid votes cast for — C. I. O. affiliates,Valid votes cast for — Unaffiliated unions,Valid votes cast for — No union
New England — total,5,2,0,0,3,440,384,241,14,0,129
New England — Maine / NH / Vermont / Rhode Island,0,0,0,0,0,0,0,0,0,0,0
New England — Massachusetts,3,2,0,0,1,440,384,241,14,0,129
New England — Connecticut,2,0,0,0,2,0,0,0,0,0,0
Middle Atlantic — total,26,1,5,1,19,1980,1818,119,443,35,1221
Mid-Atlantic — New York,15,1,2,0,12,1267,1106,58,177,11,813
Mid-Atlantic — New Jersey,5,0,2,0,3,295,273,9,126,0,138
Mid-Atlantic — Pennsylvania,6,0,1,1,4,418,439,52,140,24,270
East North Central — total,41,7,7,2,25,8363,7565,975,3422,549,2620
ENC — Ohio,12,3,2,1,6,1413,1313,201,299,68,745
ENC — Indiana,4,1,0,1,2,628,555,30,238,47,180
ENC — Illinois,10,2,3,1,4,5135,4425,208,2956,407,854
ENC — Michigan,14,0,2,0,12,1272,1123,60,0,21,915
ENC — Wisconsin,1,1,0,0,0,10,9,9,0,0,0
West North Central — total,8,2,0,0,6,2773,2534,193,1879,0,302
WNC — Iowa,0,0,0,0,0,0,0,0,0,0,0
WNC — Minnesota,4,1,0,0,3,1074,983,13,827,0,163
WNC — Missouri,1,0,0,0,1,260,264,180,23,0,61
WNC — Kansas,1,0,0,0,1,1420,1277,0,989,0,278
South Atlantic — total,16,2,3,0,11,3318,3051,37,1104,104,1816
SA — Delaware,0,0,0,0,0,0,0,0,0,0,0
SA — Maryland,4,0,1,0,3,85,75,0,12,9,53
SA — District of Columbia,1,0,0,0,1,30,28,0,0,28,0
SA — Virginia,2,0,0,0,2,245,229,0,0,86,123
