Division and State,Total number of elections,Number of elections — A. F. of L. authorized,Number of elections — C. I. O. authorized,Number of elections — Unaffiliated unions authorized,Number of elections — No union authorized,Eligible voters,Total valid votes cast,Valid votes cast for union shop by affiliation of petitioners — A. F. of L. affiliates,Valid votes cast for union shop by affiliation of petitioners — C. I. O. affiliates,Valid votes cast for union shop by affiliation of petitioners — Unaffiliated unions,Valid votes cast against union shop
New England — total,1022,794,101,99,28,104758,90439,50562,13016,19829,7032
New England — Maine,89,71,9,6,3,10542,8712,5955,963,1235,559
New England — New Hampshire,45,33,5,5,2,8632,7389,2917,613,1388,955
New England — Vermont,55,43,5,6,1,2140,1930,423,62,1141,300
New England — Massachusetts,645,541,40,45,19,63455,53253,32489,8512,8023,4229
New England — Rhode Island,79,40,17,19,3,6053,5243,1401,2159,1160,523
New England — Connecticut,109,66,25,18,0,13972,12019,6743,1343,5443,
Middle Atlantic — total,3138,2267,423,443,63,412486,355736,117898,78734,70489,20773
Mid-Atlantic — New York,1576,1156,181,218,21,199348,175490,115755,27707,31651,6743
Mid-Atlantic — New Jersey,464,327,63,67,7,73140,60460,8375,27953,8019,4113
Mid-Atlantic — Pennsylvania,1098,801,112,143,35,139998,120205,63775,23074,13953,9153
East North Central — total,4330,3137,523,726,108,750829,633238,211617,311917,67142,37303
ENC — Ohio,940,654,108,153,33,122432,108073,49711,28490,13672,8067
ENC — Indiana,525,351,53,31,10,73902,60774,19701,31966,5420,3687
ENC — Illinois,1063,658,103,180,29,191168,157096,121613,66103,19294,10706
ENC — Michigan,1121,861,188,246,29,322026,277701,39477,211124,14520,13902
ENC — Wisconsin,678,493,70,108,7,39403,29494,10915,11214,13932,
West North Central — total,1963,1438,151,313,61,92306,78964,45477,15627,10956,6904
WNC — Iowa,455,320,22,92,21,19930,16939,10005,1318,4034,1582
WNC — Minnesota,1387,961,123,208,41,63193,54308,32531,12634,5236,4907
WNC — Missouri,12,9,0,3,0,,,,,,
South Atlantic — total,515,420,39,29,24,68016,53503,26438,16752,5724,3668
