Case No.,Union and company,Date petition for injunction filed,Type of petition,Temporary restraining order — Date issued,Temporary restraining order — Date lifted,Date temporary injunction granted,Date denied,Date injunction proceedings withdrawn or dismissed,Date injunction issued after Board order
10-CC-1,10-CC-1,"Carpenters, Local 74 (Watson Specialty Store)","Sept. 22, 1947",10 (l),,,,"Oct. 28, 1947",
22-CC-1,22-CC-1,"International Longshoremen's Association et al. (Cargill Inc., & Cargo Carriers, Old Transit Co.)","Oct. 1, 1947",10 (l),"Oct. 2, 1947","Oct. 7, 1947",,,"Oct. 23, 1947"
9-CC-2,9-CC-2,United Mine Workers et al. (Jackson Construction Co.),"Oct. 8, 1947",10 (l),,,,,"Dec. 2, 1947"
2-CC-12,2-CC-12,"Teamsters, Local 294 (Montgomery Ward)","Nov. 29, 1947",10 (l),,,,,
2-CC-13,2-CC-13,"Teamsters, Local 294 (Conway's Express)","Dec. 2, 1947",10 (l),,,,,
17-CC-1,17-CC-1,"Carpenters (Klassen, Hodgson & Wadsworth)","Dec. 26, 1947",10 (l),,,,,
2-CC-15,2-CC-15,"Metropolitan Federation of Architects, Local 231 (Project Engineering & Design)","Jan. 8, 1948",10 (l),,,,"Jan. 20, 1948","Apr. 12, 1949"
9-CC-4,9-CC-4,"Wine, Liquor & Distillery Workers, Local 1, AFL (Schenley Distillers and Jardine Liquor Corp.)","Jan. 8, 1948",10 (l),"Dec. 1, 1947","Jan. 8, 1948",,,
2-CC-13,2-CC-13,"Printing Specialty & Paper Converters, Local 388 (Searight Pacific), Ltd.","Jan. 8, 1948",10 (l),,,"Feb. 16, 1948",,"Aug. 12, 1948"
2-CC-14,2-CC-14,International Typographical Union et al. (American Newspaper Publishers Association),"Jan. 19, 1948",10 (l),,,"Mar. 27, 1948",,"Apr. 18, 1949"
"15-CC-1,2,3,4","15-CC-1,2,3,4","Teamsters, Local 391, A.F.L. (International Rice Milling et al.)","Jan. 19, 1948",10 (l),,,,,July 1948
15-CC-5,15-CC-5,"Carpenters, AFL (Montgomery Fair Co.)","Jan. 27, 1948",10 (l),,,"Feb. 14, 1948",,"Mar. 29, 1948"
20-CC-2,20-CC-2,General Motors Corp. (UAW-CIO),"Feb. 18, 1948",10 (l),,,,,
21-CC-1,21-CC-1,"Carpenters, Local 55, AFL (Gould & Preisner)","Mar. 8, 1948",10 (l),,,,,
21-CB-8,21-CB-8,"Amalgamated Meat Cutters, Local 421, 587, 419, 565, A.F.L. (Great Atlantic & Pacific Tea Co.)","Mar. 17, 1948",10 (l),,,,May 1948,
2-CC-22,2-CC-22,"American Communications Association, CIO and Local 40 (Commercial Cable Co. et al.)","Mar. 17, 1948",10 (l),,,,"Mar. 23, 1948",
7-CC-2,7-CC-2,"Bricklayers, Local 1, AFL (Osterline Construction Co.)","May 24, 1948",10 (l),,,,,
21-CC-25,21-CC-25,"International Brotherhood of Electrical Workers, Local 501, AFL (Samuel Langer)","Jun 18, 1948",10 (l),"June 29, 1948",,,,
"21-CC-25, 26, 27, 28, 29, 34","21-CC-25, 26, 27, 28, 29, 34",Kern County Farm Labor Union et al. (Di Giorgio Wine & Fruit Companies),"Jun 18, 1948",10 (l),,,,,
21-CC-30,21-CC-30,Boone Antiline Co (Machinists Aeronautical Industrial Lodge No. 731),"Jun 18, 1948",10 (l),,,,,"Jun 19, 1948"
