row_label,col_1,col_2,col_3
8-RC-134,"Ford Motor Car Co. Ford Motor Co., May-",10-RC-379,"Lamar-Rankin Co.,"
21-RC-190,wood Plant.,17-RC-267,Wholesale Drugs. Lebanon Laundry & Dry Cleaners.
17-RC-80,G. & D. Radiator Serv- ice.,21-RC-379,"Lee, Thomas S., Enter- prises, Inc., Broad-"
14-RC-603,General Conveyor & Manufacturing Co.,14-RC-465,"casting System. Lewis Brothers, Bak-"
13-RC-594 7-RC-46,"General Mills, Inc. General Motors Corp., Chevrolet & Forge",8-RC-91,"eries, Inc. Libby-Owens-Ford Glass Co."
21-RC-57 13-RC-403,Division. General Motors Corp. General Time Instru-,8-RC-346 5-RC-129,Line Material Co. Lynchburg Gas Co.
21-RC-472,"ments Corp. Golden Krust Bakery,",34-RC-23,McKelvie Machine Co.
1-RC-544,"Voltz, Virgil V., d/b/a. Grand Union, The.",21-RC-351,Manning Brothers Rock
18-RC-99,Griffin Wheel Co.,13-RC-12,"& Sand Co., Inc. Manz Corp."
7-RC-74,Grinnell Brothers.,10-RC-531,Martin Brothers
34-RC-100,Guilford Dairy.,7-RC-168,"Mastick, Inc."
15-RC-95,Gulf States Optical Lab- oratories.,14-RC-434,"May Department Stores Co., Famous Barr"
21-RC-459,Hanawalt Brothers. Harbor Plywood Corp.,,"Co., d/b/a. Merchants Fire Dis-"
36-RC-159,of Oregon.,21-RC-233,patch.
32-RC-98,Hardin's Bakeries Man- agement Corp.,14-RC-70 10-RC-539,"Mepham, George S., Corp. - Miller Concrete Pipe"
1-RC-390 21-RC-542,Harris Baking Co. Hartman Concrete Ma- terials Co.,14-RC-31,Co. Monsanto Chemical Co.
10-RC-156,Manufactur-,,Monsanto Chemical Co.
,Hartsville ing Co.,14-RC-86 14-R0-441,Monsanto Chemical Co.
2-RC-73,"Hearst Consolidated Publications, Inc.",14-RC-451,Monsanto Chemical Co.
19-RC-263 15-RC-96,Hearst Publishing Co. Hennessey Optical Job-,19-RC-46 17-RC-312,Monsanto Chemical Co. Montgomery Ward & Co.
9-RC-294 1-RC-392,"bers. Herold & Sons, Inc. & Whit- ney Paper Co.",18-RC-95,Montgomery Ward & Co.
,Hollingsworth,21-RC-448 14-RC-212,Motor Replacement Co Multiplex Faucet Co.
35-RC-171,Indianapolis Times Publishing Co. Inland Empire Paper,10-RC-168,"Munro-Van Helms Co., Inc."
19-RC-116,Co.,10-RC-810,"Namm's, Inc."
15-RC-88 21-RC-389,International Paper Co. Paper Co.,8-RC-186,"National Carbon Co., Inc."
2-RC-946,International Irvington Varnish &,9-RC-410,"National Products Corp., The"
17-RC-204,Insulator Co.,20-RC-80,Distilleries National Lead Co.
,"Kansas-Nebraska Natu- ral Gas Co., Inc.",14-RC-213,National Machine Co.
1-RC-323,"Kelley, 0. G., Co., Oliver G. Kelley, d/b/a.",1-RC-166 19-RC-133 1-RC-700,National Tool Co. New England Fish Co. New England Forestry
7-RC-532,"King Brooks, Inc. Knoxville Sandgravel",,"Service, Inc. New England Tree Ex-"
10-RC-206,Material Co.,1-RC-946,"perts Associates, Inc."
18-RC-163 .,Knudsen Bros. Ship Building & Dry Dock,15-RC-106 5-RC-110,"Nola Optical Co. Nolde Bros., Inc."
14-RC-299,Co. Laclede Gas Light Co.,18-RC-96 10-RC-373,Northwest Paper Co. Okeelanta Sugar Coop
