Division and State,All cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union-shop authorization cases
New England — total,1659,287,68,17,6,584,53,25,569
Middle Atlantic — total,4873,1033,283,74,16,1768,213,63,1423
East North Central — total,5441,939,160,29,14,2030,183,118,1968
West North Central — total,1944,319,55,12,6,803,45,23,681
South Atlantic — total,1377,477,80,15,0,533,53,35,193
East South Central — total,807,226,46,10,1,338,17,21,150
West South Central — total,942,293,46,16,2,429,30,24,102
Mountain — total,735,133,18,24,0,320,16,11,213
Pacific — total,3496,650,214,65,12,1208,98,49,1140
Outlying areas — total,496,115,26,9,0,137,10,7,192
Nation-wide,2,,,,,2,,,
