Stage and method,All C cases — Number of cases,All C cases — Percent of cases closed,NLRA C cases — Number of cases,NLRA C cases — Percent of cases closed,CA cases — Number of cases,CA cases — Percent of cases closed,Other C cases — Number of cases,Other C cases — Percent of cases closed
Total number of cases closed,5615,100.0,123,100.0,4261,100.0,1231,100.0
"Before formal action, total",5098,90.8,4,3.2,3982,93.5,1112,90.3
Adjusted,1324,27.6,1,.8,1096,25.7,227,18.4
Withdrawn,2637,47.0,1,.8,1999,46.9,637,51.7
Dismissed,1132,20.1,2,1.6,884,20.8,246,20.0
Closed otherwise,5,.1,0,0,3,.1,2,.2
"After 10 (k) notice of hearing, total",17,.3,,,,,17,1.4
Before 10 (k) hearing,12,.3,,,,,12,.9
Adjusted,5,.1,,,,,5,.4
Withdrawn,6,.1,,,,,6,.4
Dismissed,1,(1),,,,,1,.1
After 10 (k) hearing and decision and determination of dispute: Compliance,2,(1),,,,,2,.2
After 10 (k) hearing and decision: Dismissed,2,(1),,,,,2,.2
"After complaint, total",500,8.9,119,96.8,279,6.5,102,8.3
Before hearing,111,2.0,2,1.6,69,1.6,40,3.2
Adjusted,71,1.3,1,.8,51,1.2,19,1.5
Withdrawn,35,.6,1,.8,15,.3,19,1.5
Dismissed,5,.1,0,0,3,.1,2,.2
After hearing,47,.8,4,3.3,39,.9,4,.4
Adjusted,13,.2,1,.8,12,.3,0,0
Compliance with intermediate report,20,.3,3,2.4,16,.4,1,.1
Withdrawn,4,.1,0,0,3,.1,1,.1
Dismissed,10,.2,0,0,8,.2,2,.2
After Board decision,206,3.7,55,44.7,102,2.4,49,4.0
"Compliance, total",128,2.3,43,35.0,65,1.5,18,1.4
Stipulated decision,5,.1,0,0,3,.1,2,.2
Contested decision,111,2.0,43,35.0,52,1.2,16,1.3
Order adopting intermediate report in absence of exceptions,12,.2,2,1.6,8,.2,2,.2
"Dismissed, total",76,1.4,8,6.5,37,.9,31,2.5
Contested decision,61,1.1,5,4.1,27,.6,29,2.4
Order adopting intermediate report in absence of exceptions (Dismissed),15,.3,3,2.4,10,.2,2,.2
After court action,136,2.4,58,47.2,69,1.6,9,.7
Compliance with consent decree,84,1.5,13,10.6,62,1.4,9,.7
Compliance with court order,33,.6,20,16.3,13,.3,0,0
Dismissed,15,.3,12,9.8,3,.1,0,0
Closed otherwise,4,.1,13,10.6,1,(1),0,0
