Results,"July 1, 1950, to June 30, 1951 / Number","July 1, 1950, to June 30, 1951 / Percent","July 5, 1935, to June 30, 1951 / Number","July 5, 1935, to June 30, 1951 / Percent"
Cases decided by U. S. courts of appeals,87,100.0,960,100.0
Board orders enforced in full,56,64.4,581,60.5
Board orders enforced with modification,14,16.1,225,23.4
Remanded to board,1,1.2,18,2.0
Board orders set aside,11,12.6,131,13.6
Board orders set aside because of non-compliance with sec. 9(h) by complaining union's parent federation,5,5.7,5,.5
Cases decided by U. S. Supreme Court,8,100.0,74,100.0
Board orders enforced in full,5,62.5,53,71.6
Board orders enforced with modification,,,11,14.8
Board orders set aside,2,25.0,5,6.7
Remanded to Board,,,1,1.4
Remanded to court of appeals,1,12.5,3,4.1
Board's request for remand or modification of enforcement order denied,,,1,1.4
