Stage / Case type,Number of cases — Total,Number of cases — A.F. of L. affiliates,Number of cases — C.I.O. affiliates,Number of cases — Unaffiliated unions,Number of cases — Individuals,Number of cases — Employers
"NLRB—R cases — Cases pending July 1, 1950",5,2,3,0,0,0
"NLRB—R cases — Cases received July 1, 1950–June 30, 1951",0,,,,,
"NLRB—R cases — Cases on docket July 1, 1950–June 30, 1951",5,2,3,0,0,0
"NLRB—R cases — Cases closed July 1, 1950–June 30, 1951",5,2,3,0,0,0
"NLRB—R cases — Cases pending June 30, 1951",0,0,0,0,0,0
"RC cases — Cases pending July 1, 1950",2214,1211,533,468,2,
"RC cases — Cases received July 1, 1950–June 30, 1951",9460,5751,2630,1076,3,
"RC cases — Cases on docket July 1, 1950–June 30, 1951",11674,6962,3163,1544,5,
"RC cases — Cases closed July 1, 1950–June 30, 1951",9434,5612,2523,1295,4,
"RC cases — Cases pending June 30, 1951",2240,1350,640,249,1,
"RM cases — Cases pending July 1, 1950",162,,,,,162
"RM cases — Cases received July 1, 1950–June 30, 1951",448,,,,,448
"RM cases — Cases on docket July 1, 1950–June 30, 1951",610,,,,,610
"RM cases — Cases closed July 1, 1950–June 30, 1951",492,,,,,492
"RM cases — Cases pending June 30, 1951",118,,,,,118
"RD cases — Cases pending July 1, 1950",99,0,0,2,97,0
"RD cases — Cases received July 1, 1950–June 30, 1951",339,0,3,14,321,1
"RD cases — Cases on docket July 1, 1950–June 30, 1951",438,0,3,16,418,1
"RD cases — Cases closed July 1, 1950–June 30, 1951",360,0,3,16,341,1
"RD cases — Cases pending June 30, 1951",78,0,0,1,77,0
"UA cases — Cases pending July 1, 1950",991,580,244,167,0,
"UA cases — Cases received July 1, 1950–June 30, 1951",6790,3793,2182,807,8,
"UA cases — Cases on docket July 1, 1950–June 30, 1951",7781,4373,2426,974,8,
"UA cases — Cases closed July 1, 1950–June 30, 1951",6843,3825,2160,851,7,
"UA cases — Cases pending June 30, 1951",938,548,266,123,1,
