Formal actions taken,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — NLRA-C cases,Unfair labor practice cases — CA cases,Unfair labor practice cases — Other C cases,Representation cases,Union-shop authorization cases
Complaints issued,792,792,0,630,162,,
Notices of hearing issued,2658,15,0,0,15,2610,33
Cases heard,2833,670,1,520,149,2131,32
Intermediate reports issued,624,624,2,476,146,,
"Decisions issued, total",3534,606,10,461,135,2740,188
Decisions and orders,498,498,8,369,121,,
Decisions and consent orders,108,108,2,92,14,,
Elections directed,1698,,,,,1689,9
Certifications and dismissals after stipulated elections,942,,,,,793,149
Dismissals on record,280,,,,,258,22
Certifications after regional director directed elections,8,,,,,,8
