Stage and method,All R cases — Number of cases,All R cases — Percent of cases closed,RC cases — Number of cases,RC cases — Percent of cases closed,RM cases — Number of cases,RM cases — Percent of cases closed,RD cases — Number of cases,RD cases — Percent of cases closed
Total number of cases closed,10291,100.0,9439,100.0,492,100.0,360,100.0
"Before formal action, total",7653,74.4,7012,74.3,380,77.2,261,72.5
Adjusted,4780,,4571,,162,,47,
Consent election,3902,,3746,,118,,38,
Stipulated election,695,,665,,21,,9,
Recognition,183,,160,,23,,0,
Withdrawn,2191,,1931,,118,,142,
Dismissed,650,,502,,76,,72,
Closed otherwise,32,,8,,24,,0,
"After formal action, total",2638,25.6,2427,25.7,112,22.8,99,27.5
"Before hearing, total",401,3.9,358,3.8,18,3.7,25,7.0
After hearing,296,2.9,266,2.8,18,3.7,12,3.3
After Board decision,1941,18.8,1803,19.1,76,15.4,62,17.2
Board ordered election,1549,,1458,,53,,38,
Dismissed without election,266,,228,,17,,21,
Withdrawn,116,,109,,4,,3,
Stipulated election and post-election hearing and decision,10,,8,,2,,0,
