Stage and method,Number of cases,Percent of cases closed
Total number of cases closed,6843,100.0
"Before formal action, total",6810,99.5
Adjusted,5918,86.5
Consent election — authorized,5059,
Consent election — not authorized,151,
Stipulated election — authorized,144,
Stipulated election — not authorized,4,
Regional director directed election — authorized,521,
Regional director directed election — not authorized,39,
Withdrawn,727,10.6
Dismissed,161,2.3
Otherwise,4,.1
"After formal action, total",33,.5
After notice of hearing,2,
Consent election — authorized,1,
Withdrawn,1,
After hearing held — withdrawn,1,
After Board decision — dismissed,22,
After Board ordered election — authorized,7,
After regional director directed election and Board decision — not authorized,1,
