Division and State,Number of elections,Elections won by — A.F. of L. affiliates,Elections won by — C.I.O. affiliates,Elections won by — Unaffiliated unions,Elections won by — No union,Employees eligible to vote,Total valid votes cast,Valid votes cast for — A.F. of L. affiliates,Valid votes cast for — C.I.O. affiliates,Valid votes cast for — Unaffiliated unions,Valid votes cast for — No union,Employees in units choosing union representation
West Virginia,58,24,3,4,27,19801,18456,1221,5844,7327,4058,12361
North Carolina,91,18,33,6,40,12686,11500,1541,3225,1066,3866,5049
South Carolina,27,11,11,0,5,6816,6200,1277,1725,898,1909,3300
Georgia,77,31,9,9,32,8562,7082,2000,1309,950,2733,5000
Florida,73,40,6,5,22,6032,5200,3000,342,300,1500,4200
East South Central,281,124,53,16,88,31009,28219,9589,7262,2810,8558,21131
Kentucky,70,44,15,7,14,13331,11931,3981,1674,1299,6338,
Tennessee,103,45,15,1,31,13533,12653,4305,3156,921,1028,
Alabama,80,25,23,1,31,4466,4028,921,1255,433,1419,
Mississippi,28,10,0,1,12,1609,1479,362,0,126,892,
West South Central,388,136,79,23,128,35073,31320,9839,9156,1933,11042,22431
Mountain,255,130,23,11,62,20089,17745,3752,4023,4723,4047,14016
Pacific,812,412,99,98,203,69899,60791,19791,12929,12928,9108,55883
Outlying areas,134,22,6,64,31,13243,10487,2347,1972,4629,1538,11756
Outlying — Alaska,2,1,0,1,0,150,0,,,,,
Outlying — Hawaii,11,3,0,6,2,979,829,,,,,
Outlying — Puerto Rico,120,18,6,57,29,12114,10000,,,,,
