Division and State,Number of elections,Elections won by — A.F. of L. affiliates,Elections won by — C.I.O. affiliates,Elections won by — Unaffiliated unions,Elections won by — No union,Employees eligible to vote,Total valid votes cast,Valid votes cast for — A.F. of L. affiliates,Valid votes cast for — C.I.O. affiliates,Valid votes cast for — Unaffiliated unions,Valid votes cast for — No union,Employees on units choosing union representation
South Carolina,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,1,0,0,0,1,298,279,0,0,0,186,28
Florida,1,0,1,0,0,29,31,0,0,0,23,39
East South Central,7,0,0,0,7,230,200,11,3,32,154,0
West South Central,5,1,1,2,0,360,324,33,96,0,195,146
Arkansas,1,1,0,0,0,89,82,33,0,0,73,0
Texas,3,0,1,1,1,126,115,0,0,27,23,52
Mountain,2,1,0,0,1,83,76,34,7,0,35,58
Pacific,18,0,2,0,5,902,780,30,483,0,221,666
Washington,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,2,0,0,0,1,696,569,11,0,472,0,633
California,16,0,2,0,1,206,169,19,65,0,132,33
Outlying areas,2,0,0,0,2,161,120,14,2,0,104,0
Outlying — Puerto Rico,1,0,0,0,2,135,99,,,,,
