Case No.,Union and company,Date petition for injunction filed,Type of petition,Temporary restraining order — Date issued,Temporary restraining order — Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings withdrawn or dismissed,Date of Board decision and/or order
21-CD-1,"AFL-Los Angeles Building and Construction Trades Council, et al. (Westinghouse Electric Co.).","Aug. 25, 1949",10 (k),,,,,,"May 11, 1951"
19-CD-4,"CIO-Longshoremen, Local 16 (Loungian-Spruce Corp.).","May 12, 1949",10 (l),,,"May 14, 1949",,"Aug. 24, 1950","Aug. 7, 1950"
2-CC-3,Newspaper & Mail Deliverers Union of New York and vicinity (Interborough News Co.).,"Aug. 1, 1949",10 (l),,,,,"Oct. 17, 1950",
2-CC-13,"AFL-Teamsters, Local 297 (Western Express Co., California).","Nov. 16, 1949",10 (l),,,,,"Jan. 31, 1951","Sept. 20, 1950"
6-CC-41,"AFL-Teamsters, Locals 249 and 635 (Swift & Co.).","Mar. 7, 1950",10 (l),,,,,"Feb. 26, 1951",
2-CC-3,"AFL-Teamsters, Local 878 (Arkansas Co.).","Mar. 27, 1950",10 (l),,,,,,"Nov. 24, 1950"
20-CC-5,AFL-Sailors Union of the Pacific (Moore Dry Dock Co.).,"Mar. 14, 1950",10 (l),,,,,,"Dec. 22, 1950"
"2-CC-128, 129","AFL-Teamsters, Local 45 (Distributors Association of California).","Mar. 17, 1950",10 (l),,,,,"July 17, 1950",
19-CC-1,"CIO-Longshoremen & Warehousemen, Local 7-C and Local 19 (Alaska Salmon Industry Inc.).","May 22, 1950",10 (l),"May 22, 1950",,"June 1, 1950",,,
"2-CC-27, 30","CIO-Longshoremen, Local 6 (Purity Stores, Ltd.).","June 19, 1950",10 (l),,,,,"July 10, 1950","Mar. 7, 1951"
19-CC-2,"AFL-Meat Cutters, Local 203 (Western, Inc.).","June 29, 1950",10 (l),,,,,,"Feb. 5, 1951"
9-CC-1,"United Construction Workers, URWWA (Kanawha Coal Operators Association).","July 14, 1950",10 (l),,,"July 20, 1950",,,
"2-CB-141, 234",Newspaper & Mail Deliverers Union of New York and vicinity (New York Herald Tribune).,"Aug. 16, 1950",10 (l),,,,,,
21-CC-23,"Construction & General Laborers Union, Local 240 (Lehmer Brunage & Metal Products).","Aug. 19, 1950",10 (l),,,,,"Apr. 6, 1951","Mar. 12, 1951"
13-CC-13,"AFL-Photo Engravers Union, Local 8 (Drake Process, Inc.).","Sept. 8, 1950",10 (l),,,,,,
17-CC-10,"AFL-Teamsters & Butchers, Local 172 (Producers Produce Co.).","Aug. 26, 1950",10 (l),,,"Sept. 19, 1950",,,
2-CC-65,"AFL-Teamsters, Local 138 (Airport Packing Co.).","Aug. 24, 1950",10 (l),,,,,"Nov. 24, 1950","Sept. 28, 1951"
2-CC-15,"AFL-Teamsters, Local 138 (Lammers Builders Exchange, Inc.).",,10 (l),,,,,,
