Stage and method,All C cases / Number of cases,All C cases / Percent of cases closed,NLRA C cases / Number of cases,NLRA C cases / Percent of cases closed,CA cases / Number of cases,CA cases / Percent of cases closed,Other C cases / Number of cases,Other C cases / Percent of cases closed
Total number of cases closed,5387,100.0,43,100.0,4232,100.0,1112,100.0
"Before formal action, total",4778,88.7,2,4.7,3812,90.1,964,86.7
Adjusted,930,,2,,784,,144,
Withdrawn,2602,,0,,2058,,544,
Dismissed,1235,,0,,964,,271,
Closed otherwise,11,,0,,6,,5,
"After 10 (k) notice of hearing, total",14,0.3,,,,,14,1.3
Before hearing,9,,,,,,9,
Adjusted,3,,,,,,3,
Withdrawn,6,,,,,,6,
"After hearing, withdrawn",1,,,,,,1,
"After decision and determination of dispute, withdrawn",2,,,,,,2,
After decision and order quashing the notice of hearing,2,,,,,,2,
"After complaint, total",595,11.0,41,95.3,420,9.9,134,12.0
Before hearing,88,1.6,0,0,59,1.4,29,2.6
Adjusted,57,,0,,42,,15,
Withdrawn,24,,0,,14,,10,
Dismissed,7,,0,,3,,4,
After hearing,73,1.3,0,,55,1.3,18,1.6
Adjusted,17,,0,,16,,1,
Compliance with intermediate report,44,,0,,30,,14,
Withdrawn,6,,0,,4,,2,
Dismissed,6,,0,,5,,1,
After Board decision,242,4.5,6,13.9,190,4.5,46,4.1
"Compliance, total",149,,4,,105,,40,
Stipulated decision,3,,0,,1,,2,
Contested decision,118,,4,,80,,34,
Order adopting intermediate report in absence of exceptions,28,,0,,24,,4,
"Dismissed, total",77,,0,,71,,6,
Contested decision,67,,0,,61,,6,
Order adopting intermediate report in absence of exceptions,10,,0,,10,,0,
Closed otherwise,16,,2,,14,,0,
After court action,192,3.6,35,81.4,116,2.7,41,3.7
Compliance with consent decree,63,,2,,49,,12,
Compliance with court order,98,,25,,50,,23,
Withdrawn,27,,7,,14,,6,
Dismissed,4,,1,,3,,0,
