Industrial group,Number of elections / Total,Number of elections / In which representation rights were won by — A F L affiliates,Number of elections / In which representation rights were won by — C I O affiliates,Number of elections / In which representation rights were won by — Unaffiliated unions,Number of elections / In which employees voted to decertify,Eligible voters,Valid votes cast
Total,101,14,10,3,74,7378,6534
Manufacturing,74,10,9,1,54,5767,5099
Food and kindred products,6,0,0,0,6,238,217
Tobacco manufactures,1,0,0,0,1,119,82
Textile-mill products,7,0,0,3,4,2444,2101
Apparel and other finished products made from fabrics and similar materials,2,0,0,0,2,493,424
Lumber and wood products,3,1,0,0,2,145,136
Furniture and fixtures,1,0,0,0,1,7,7
"Printing, publishing, and allied industries",5,2,0,0,3,128,124
Chemicals and allied products,8,0,1,0,5,113,106
Products of petroleum and coal,6,0,0,0,6,226,208
Leather and leather products,1,0,0,0,1,81,74
"Stone, clay, and glass products",2,1,0,0,1,66,61
Primary metal industries,8,2,1,0,5,414,382
Fabricated metal products (except machinery and transportation equipment),3,1,0,0,2,70,68
Machinery (except electrical),11,1,0,2,8,727,683
"Electrical machinery, equipment, and supplies",5,1,0,1,3,317,263
Transportation equipment,2,0,0,0,2,61,59
Automotive and other transportation equipment,2,0,0,0,2,61,59
"Professional, scientific, and controlling instruments",2,0,0,0,2,38,33
Miscellaneous manufacturing,3,0,0,0,3,80,71
Mining,2,0,0,1,1,132,123
Coal mining,2,0,0,1,1,132,123
Wholesale trade,7,1,0,0,5,368,325
Retail trade,7,1,0,0,6,206,185
"Finance, insurance, and real estate",2,1,0,0,0,637,582
"Transportation, communication, and other public utilities",8,2,0,0,6,161,140
Highway passenger transportation,1,0,0,0,1,54,35
Highway freight transportation,2,1,0,0,1,10,10
Other transportation,1,0,0,0,1,4,4
"Heat, light, power, water, and sanitary services",4,1,0,0,3,83,81
Services,1,0,0,0,1,107,80
