Case No.,Companies and unions involved,Election date,Eligible voters,Votes in favor of accepting final offer,Votes against accepting final offer
Philadelphia Marine Trade Association,,,,,
Longshoremen,,do.,2900,78,2361
Checkers,,do.,200,17,167
Clerks,,do.,32,9,24
Maintenance Workers,,do.,100,0,96
"Steamship Trade Association of Baltimore, Inc.",,,,,
Longshoremen,,do.,4729,207,1472
Checkers,,do.,213,7,110
Clerks,,do.,115,6,83
"Hampton Roads Maritime Association, Inc.",,,,,
Longshoremen,,do.,1408,51,853
Checkers,,do.,108,18,81
Clerks,,do.,35,0,45
IV.,Copper and Nonferrous Metals Industry:,,,,
19-X-1,"International Union of Mine, Mill & Smelter Workers, and 25 Companies involved: 8 Companies (Federal Mining and Smelting Co., Sunshine Hill, Bunker Hill, Sullivan Mining, American Lead, Howe Sound, etc.)","Nov. 20, 1951",,,
"Federal Mining and Smelting Co. (Morning Mine), Wallace, Idaho",,,268,184,78
"Sunshine Hill and Sullivan Mining & Concentrating Co., Kellogg, Idaho",,,1561,547,822
"Sunshine Mining Co., Kellogg, Idaho",,,850,384,242
"Sullivan Mining Co., Kellogg, Idaho",,,357,282,42
"American Lead & Smelting Co., Metaline, Wash.",,,132,89,67
"Bunker Hill and Sullivan Co., Metaline, Wash.",,,178,70,92
"Howe Sound Co., Holden, Wash.",,,89,38,65
20-X-2,"U. S. Vanadium Co., Bishop, Calif.",,233,80,94
Total,,,68312,3520,21227
