Industrial group,Number of polls / Total,Number of polls / Affiliation of union authorized to negotiate union-shop — A F L,Number of polls / Affiliation of union authorized to negotiate union-shop — C I O,Number of polls / Affiliation of union authorized to negotiate union-shop — Unaffiliated unions,Number of polls / Union-shop rejected,Employees eligible to vote,Total valid votes cast
Total,46146,30747,8017,6459,1223,6545001,5548982
Manufacturing,30271,18032,7073,4473,690,3458995,4041107
Ordnance and accessories,13,8,2,3,0,5539,5022
Food and kindred products,6222,4851,589,608,177,570328,486534
Tobacco manufactures,65,50,6,9,0,14977,13295
Textile-mill products,1548,298,1023,215,12,391754,345073
Apparel and other finished products made from fabrics and similar material,753,477,247,22,7,218112,199855
Lumber and wood products,2129,1402,626,23,78,170927,144567
Furniture and fixtures,1131,380,654,65,20,92181,81308
Paper and allied products,1299,1033,167,64,18,226265,198553
"Printing, publishing, and allied industries",1746,1357,175,173,26,95029,83210
Chemicals and allied products,1514,838,257,112,27,113524,104287
Products of petroleum and coal,359,164,123,24,16,66061,41419
Rubber products,272,70,185,12,0,138418,109624
Leather and leather products,568,308,151,55,8,101835,89382
"Stone, clay, and glass products",1361,1069,176,93,32,210623,177802
Primary metal industries,2008,1142,642,208,44,799755,648343
Fabricated metal products (except machinery and transportation equipment),2913,1604,706,545,58,262627,215167
Machinery (except electrical),2936,769,806,1362,69,506889,437762
"Electrical machinery, equipment, and supplies",1003,503,190,281,29,294800,250047
Transportation equipment,1168,336,450,345,37,824095,722377
Aircraft and parts,137,31,39,58,9,107872,90393
Ship and boat building and repairing,211,110,54,39,8,55924,45382
Automotive and other transportation equipment,820,195,357,248,20,700299,636752
"Professional, scientific, and controlling instruments",365,138,123,94,10,67309,61109
Miscellaneous manufacturing,1167,718,203,165,25,102222,88809
"Agriculture, forestry, and fisheries",5,4,0,1,0,64,58
Mining,332,160,108,54,10,44859,36684
Metal mining,90,12,45,30,3,28218,23497
Coal mining,31,4,2,25,0,982,872
Crude petroleum and natural gas production,35,13,17,1,4,6311,4620
Nonmetallic mining and quarrying,176,131,34,8,3,9148,7560
Construction,466,392,7,46,21,24795,20398
Wholesale trade,4111,3300,262,291,138,133866,115768
Retail trade,3041,2557,247,630,197,236917,207194
"Finance, insurance, and real estate",1546,1508,14,16,8,30882,25547
"Transportation, communication, and other public utilities",4739,3712,202,636,189,542735,459696
Highway passenger transportation,383,277,12,77,17,44592,36279
Highway freight transportation,2062,1683,57,291,59,85572,72635
Water transportation,181,117,29,27,6,21376,16803
Warehousing and storage,811,667,33,82,26,30648,26907
Other transportation,124,101,8,12,3,70520,58361
Communication,691,555,35,69,32,184552,162344
"Heat, light, power, water, and sanitary services",487,327,55,66,39,106000,133461
Services,1035,699,84,164,34,68825,60073
