Division and State,Number of polls / Total,Number of polls / Affiliation of union authorized to negotiate union-shop — A F L,Number of polls / Affiliation of union authorized to negotiate union-shop — C I O,Number of polls / Affiliation of union authorized to negotiate union-shop — Unaffiliated unions,Number of polls / Union-shop rejected,Employees eligible to vote,Number of valid votes cast / Total,Number of valid votes cast / In favor of union-shop by affiliation of petitioning union — A F L,Number of valid votes cast / In favor of union-shop by affiliation of petitioning union — C I O,Number of valid votes cast / In favor of union-shop by affiliation of petitioning union — Unaffiliated unions,Number of valid votes cast / Against union-shop
Virginia,205,178,8,15,4,57841,49206,20165,25114,1011,2874
West Virginia,98,57,29,7,4,21124,17938,6170,5389,699,5290
North Carolina,16,5,4,1,0,2063,1769,353,1194,29,60
South Carolina,30,22,4,0,1,11778,10074,5393,1420,0,3261
Georgia,56,43,0,5,5,10055,8738,5749,9,1053,604
Florida,58,40,12,13,0,8734,7439,3300,3036,0,1103
East South Central,831,670,115,70,26,150688,126150,62492,49050,5971,8870
Kentucky,222,127,44,42,17,65577,57402,36322,13061,4203,4029
Tennessee,317,243,47,21,6,53011,42030,11890,21890,39,3711
Alabama,265,192,30,33,3,30037,24890,13400,10294,1196,1701
Mississippi,73,59,1,11,1,5063,4028,1180,1400,549,405
West South Central,831,622,78,59,43,63134,57719,23587,15300,3802,3287
Arkansas,1,82,1,9,3,6500,5791,1820,1005,0,390
Louisiana,279,200,30,20,20,12500,10003,5182,1239,2253,1329
Oklahoma,94,94,13,2,0,9096,8237,5420,1196,10,303
Texas,297,227,23,31,20,35038,33288,11165,11860,1049,1265
Mountain,1450,1174,124,144,23,85894,75879,37591,26761,10761,6942
Pacific,8236,5797,983,1235,309,683380,590921,364743,107138,74977,46603
Washington,1595,1174,166,213,60,138019,117857,84902,13633,12734,6588
Oregon,1541,1006,323,147,65,97800,84202,51494,21314,9856,9888
California,5100,3602,401,824,192,447561,388862,228346,72191,50825,31771
Outlying areas,411,126,23,242,19,42758,22766,10228,29151,1700,17237
Alaska,40,34,1,1,1,1000,893,688,33,0,144
Hawaii,43,29,4,1,5,5500,4372,3194,705,117,236
Puerto Rico,328,63,18,240,13,36258,17501,6346,28413,1720,16857
