row_label,Number of cases / Total,Number of cases / Identification of complainant or petitioner / AFL affiliates,Number of cases / Identification of complainant or petitioner / CIO affiliates,Number of cases / Identification of complainant or petitioner / Unaffiliated unions,Number of cases / Identification of complainant or petitioner / Individuals,Number of cases / Identification of complainant or petitioner / Employers
All cases,,,,,,
"Pending July 1, 1952",5351,2317,1355,350,1056,273
"Received July 1, 1952-June 30, 1953",14756,7471,3183,973,2180,949
"On docket July 1, 1952-June 30, 1953",20107,9788,4538,1323,3236,1222
"Closed July 1, 1952-June 30, 1953",15818,7923,3495,1081,2346,973
"Pending June 30, 1953",4289,1865,1043,242,890,249
Unfair labor practice cases,,,,,,
"Pending July 1, 1952",3068,1021,749,169,966,163
"Received July 1, 1952-June 30, 1953",5469,2066,1024,295,1656,428
"On docket July 1, 1952-June 30, 1953",8537,3087,1773,464,2622,591
"Closed July 1, 1952-June 30, 1953",5868,2149,1139,334,1819,427
"Pending June 30, 1953",2669,938,634,130,803,164
Representation cases,,,,,,
"Pending July 1, 1952",2280,1296,606,181,87,110
"Received July 1, 1952-June 30, 1953",9243,5405,2158,675,484,521
"On docket July 1, 1952-June 30, 1953",11523,6701,2764,856,571,631
"Closed July 1, 1952-June 30, 1953",9909,5774,2356,744,489,546
"Pending June 30, 1953",1614,927,408,112,82,85
Union-shop deauthorization cases,,,,,,
"Pending July 1, 1952",3,0,0,0,3,
"Received July 1, 1952-June 30, 1953",44,0,1,3,40,
"On docket July 1, 1952-June 30, 1953",47,0,1,3,43,
"Closed July 1, 1952-June 30, 1953",41,0,0,3,38,
"Pending June 30, 1953",6,0,1,0,5,
