row_label,Industrial group,All cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Representation cases / RC,Representation cases / RM
Total,14712,4409,810,179,71,8241,518,484
Manufacturing,9333,2772,398,63,20,5455,320,325
Ordnance and accessories,104,19,2,0,0,80,1,2
Food and kindred products,1251,333,59,16,2,763,36,42
Tobacco manufactures,14,4,0,0,0,9,1,0
Textile mill products,440,182,12,4,0,203,26,13
Apparel and other finished products made from fabrics and similar materials,461,209,22,4,0,175,42,9
Lumber and wood products,503,165,28,4,3,263,26,14
Furniture and fixtures,377,133,20,2,0,196,18,8
Paper and allied products,286,55,6,0,0,210,10,5
"Printing, publishing, and allied industries",396,104,31,3,2,233,10,13
Chemicals and allied products,534,120,14,4,0,354,20,22
Products of petroleum and coal,172,46,7,2,0,96,4,15
Rubber products,102,25,3,0,0,69,2,3
Leather and leather products,157,51,8,0,0,79,11,8
"Stone, clay, and glass products",354,102,13,1,0,219,8,11
Primary metal industries,508,126,34,1,4,307,13,24
Fabricated metal products (except machinery and transportation equipment),815,230,30,4,1,499,27,24
Machinery (except electrical),994,291,37,5,3,583,29,44
"Electrical machinery, equipment, and supplies",672,225,23,6,0,372,14,32
Transportation equipment,649,199,33,5,3,380,10,19
Aircraft and parts,290,95,17,4,1,164,1,8
Ship and boat building and repairing,97,37,11,1,1,45,1,1
Automotive and other transportation equipment,262,67,5,0,1,171,8,10
"Professional, scientific, and controlling instruments",128,37,4,0,0,82,4,1
Miscellaneous manufacturing,436,116,11,0,0,271,18,20
"Agriculture, forestry, and fisheries",11,5,1,0,0,5,0,0
Mining,238,88,7,2,0,126,7,8
Metal mining,70,18,1,1,0,49,0,1
Coal mining,38,31,3,0,0,4,0,0
Crude petroleum and natural gas production,54,16,1,0,0,34,1,2
Nonmetallic mining and quarrying,76,23,2,1,0,39,6,5
Construction,627,195,171,46,36,169,8,2
Wholesale trade,1119,229,39,27,3,674,55,42
Retail trade,1456,438,67,13,10,654,63,31
"Finance, insurance, and real estate",66,24,7,0,0,34,0,1
"Transportation, communication, and other public utilities",1388,460,113,25,11,686,51,42
Highway passenger transportation,149,70,10,1,0,59,8,1
Highway freight transportation,427,155,39,13,1,192,16,11
Water transportation,140,40,30,8,3,53,4,2
Warehousing and storage,145,30,6,4,0,98,5,2
Communication,45,19,2,0,1,23,0,0
"Heat, light, power, water, and sanitary services",268,86,15,1,5,127,13,4
Services,454,148,37,2,1,243,10,
