Stage and method of disposition,All C cases / Number of cases,All C cases / Percent of cases closed,CA cases / Number of cases,CA cases / Percent of cases closed,CB cases / Number of cases,CB cases / Percent of cases closed,CC cases / Number of cases,CC cases / Percent of cases closed,CD cases / Number of cases,CD cases / Percent of cases closed
Total number of cases closed,5868,100.0,4719,100,883,100.0,168,100.0,78,100.0
Before issuance of complaint,5103,87.0,4116,87.2,767,86.9,142,84.5,78,100.0
Adjusted,913,15.6,746,15.8,130,14.7,15,8.9,22,28.2
Withdrawn,2705,46.1,2183,46.3,378,42.8,95,56.5,49,62.8
Dismissed,1474,25.1,1176,24.9,259,29.3,32,19.1,7,9.0
Otherwise,11,.2,11,.2,0,0,0,0,0,0
"After issuance of complaint, before opening of hearing",198,3.4,147,3.2,41,4.7,10,6.0,,
Adjusted,76,1.3,60,1.3,13,1.5,3,1.8,,
Compliance with stipulated decree,8,.1,1,,3,.3,4,2.4,,
Compliance with consent decree,63,1.1,57,1.2,6,.7,0,0,,
Withdrawn,40,.7,26,.6,11,1.2,3,1.8,,
Dismissed,10,.2,3,.1,7,.8,0,0,,
Otherwise,1,(10),0,0,1,.1,0,0,,
"After hearing opened, before issuance of intermediate report",85,1.5,74,1.6,7,.7,2,1.2,,
Adjusted,15,.2,13,.3,2,.2,0,0,,
Compliance with consent decree,45,.8,40,.8,3,.3,2,1.2,,
Withdrawn,7,.1,5,.1,2,.2,0,0,,
Dismissed,16,.3,16,.3,0,0,0,0,,
Otherwise,2,(10),0,0,0,0,0,0,,
"After intermediate report, before issuance of Board decision",48,.8,43,.9,5,.6,0,0,,
Compliance,44,.8,39,.8,5,.6,0,0,,
Withdrawn,3,.1,3,.1,0,0,0,0,,
Otherwise,1,(10),1,(10),0,0,0,0,,
