Type of case,Total elections,Type of election / Consent,Type of election / Stipulated,Type of election / Board ordered,Type of election / Regional director directed
"All elections, total",6208,3284,921,1990,13
"Eligible voters, total",751337,242496,175212,330634,2995
"Valid votes, total",650796,209404,150932,288703,1757
"RC cases, total",5886,3112,883,1891,
Eligible voters,726620,232697,171266,322657,
Valid votes,629806,200613,147539,281654,
"RM cases, total",164,108,24,32,
Eligible voters,11378,4978,2962,3438,
Valid votes,9933,4396,2480,3057,
"RD cases, total",141,61,14,66,
Eligible voters,9945,4628,984,4333,
Valid votes,8947,4219,913,3815,
"UD cases, total",17,3,0,1,13
Eligible voters,3394,193,0,206,2995
Valid votes,2110,176,0,177,1757
