Affiliation of participating unions,Number of elections / Total,Number of elections / in which representation rights were won by: / AFL affiliates,Number of elections / in which representation rights were won by: / CIO affiliates,Number of elections / in which representation rights were won by: / Unaffiliated unions,Number of elections / in units in which no representative was chosen,Number of employees involved (number eligible to vote) / Total,Number of employees involved (number eligible to vote) / in units in which representation rights were won by: / AFL affiliates,Number of employees involved (number eligible to vote) / in units in which representation rights were won by: / CIO affiliates,Number of employees involved (number eligible to vote) / in units in which representation rights were won by: / Unaffiliated unions,Number of employees involved (number eligible to vote) / in units where no representative was chosen
Total,6050,2750,1114,486,1700,737966,267925,217165,99330,153548
1-union elections,5031,2011,,,1020,167355,99765,,,67590
A F L,2776,2011,,,765,165847,99765,,,66141
C I O,1226,,946,,280,,,,,19584
Unaffiliated,529,,,279,60,,,,,
2-union elections,650,324,166,80,80,215050,107725,94073,19371,39330
A F L-C I O,504,236,164,,65,26756,,,,
A F L-Unaffiliated,214,88,,80,31,,,,,
C I O-Unaffiliated,26,,2,,,,,,,
Unaffiliated-Unaffiliated,11,,,15,0,2196,,,,
3-union elections,54,21,14,15,4,9098,1376,14228,17321,13932
A F L-C I O-Unaffiliated,47,19,14,11,3,,,,,
A F L-Unaffiliated-Unaffiliated,4,2,,2,0,,,,,
C I O-Unaffiliated-Unaffiliated,3,,0,2,1,,,,,
4-union elections,2,,2,,0,2774,,2774,,0
A F L-A F L-C I O-Unaffiliated,2,0,2,0,0,,,,,
