Affiliation of participating unions,Employees eligible to vote,Total valid votes cast,Percent eligible voting valid votes,Valid votes cast for winning union / AFL affiliates,Valid votes cast for winning union / CIO affiliates,Valid votes cast for winning union / Unaffiliated unions,Valid votes cast for losing union / AFL affiliates,Valid votes cast for losing union / CIO affiliates,Valid votes cast for losing union / Unaffiliated unions,Valid votes cast for no union
Total,584430,500118,85.6,162821,128155,56820,42261,40146,18079,51431
1-union elections,99765,83357,83.6,64426,,,,,,18931
A F L,72549,64510,88.9,45786,,,,,,16202
C I O,19564,16420,83.9,,12582,,,,,3838
Unaffiliated,,,,,,,,,,
2-union elections,201848,172016,85.2,65310,67928,11030,8301,25358,4650,16323
A F L-C I O,165668,141016,85.1,59148,22444,,19228,20562,,13925
A F L-Unaffiliated,31665,26448,82.7,8162,,7054,11187,,10193,1253
C I O-Unaffiliated,3192,1974,61.8,,10162,,,,694,
3-union elections,9098,7498,82.4,879,8570,9734,2222,8217,1906,568
A F L-C I O-Unaffiliated,2944,2676,90.9,,,228,,,,
A F L-Unaffiliated-Unaffiliated,289,239,82.7,,,133,,,,
C I O-Unaffiliated-Unaffiliated,182,163,89.6,,,47,,,,
4-union elections,2774,2289,82.5,,,,,,,
A F L-A F L-C I O,,,,,,,,,,
