Formal action taken,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA cases,Unfair labor practice cases / Other C cases,Representation cases
Complaints issued,821,821,591,230,
Notices of hearing issued,4805,27,27,,4778
Cases heard,2919,669,493,176,2250
Intermediate reports issued,556,556,429,127,
"Decisions issued, total",2372,523,372,151,1849
Decisions and orders,398,398,295,103,
Decisions and consent orders,125,125,77,48,
Elections directed,1407,,,,1407
Rulings on objections and/or challenges in stipulated election cases,96,,,,96
Dismissals on record,346,,,,346
