Industrial group,All cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Representation cases / RC,Representation cases / RM,Representation cases / RD
Total,14041,4373,1257,250,85,7028,568,480
Manufacturing,8523,2733,488,75,23,4569,314,321
Ordnance and accessories,70,26,5,1,0,34,1,3
Food and kindred products,1181,298,73,16,3,704,45,42
Tobacco manufactures,21,6,1,0,0,12,0,2
Textile mill products,384,148,17,4,0,196,7,12
Apparel and other finished products made from fabrics and similar materials,484,231,45,11,0,148,37,12
Lumber and wood products,394,156,24,5,2,167,25,15
Furniture and fixtures,310,120,12,4,1,144,17,12
Paper and allied products,280,65,8,1,4,180,10,12
"Printing, publishing, and allied industries",351,105,25,0,0,180,16,25
Chemicals and allied products,539,138,23,6,2,333,17,20
Products of petroleum and coal,131,44,6,1,0,62,3,15
Rubber products,71,21,1,1,1,42,3,3
Leather and leather products,134,49,8,1,0,64,6,6
"Stone, clay, and glass products",345,127,23,5,1,168,11,11
Primary metal industries,425,134,24,6,1,246,10,
Fabricated metal products (except machinery and transportation equipment),782,241,47,6,0,442,27,19
Machinery (except electrical),861,281,42,2,2,506,27,31
"Electrical machinery, equipment, and supplies",865,173,34,5,3,310,10,30
Transportation equipment,550,176,45,3,3,281,17,26
Aircraft and parts,236,83,14,2,0,115,8,14
Ship and boat building and repairing,83,20,13,0,0,45,1,2
Automotive and other transportation equipment,231,73,18,1,1,121,7,10
"Professional, scientific, and controlling instruments",137,47,6,0,0,71,3,
Miscellaneous manufacturing,476,147,19,0,2,273,22,13
"Agriculture, forestry, and fisheries",22,16,0,1,0,4,1,0
Mining,189,63,21,4,1,82,10,8
Metal mining,57,15,0,0,0,41,0,0
Coal mining,36,19,14,1,0,1,0,1
Crude petroleum and natural gas production,25,6,0,0,0,7,0,
Nonmetallic mining and quarrying,71,23,7,3,0,33,1,4
Construction,905,278,330,74,38,174,9,2
Wholesale trade,1031,239,43,15,8,617,61,50
Retail trade,1336,444,68,17,2,676,77,52
"Finance, insurance, and real estate",88,19,4,2,0,60,0,3
"Transportation, communication, and other public utilities",1552,448,264,56,17,652,75,40
Highway passenger transportation,99,30,11,1,0,48,4,5
Highway freight transportation,469,151,70,18,6,180,33,11
Water transportation,330,99,144,22,6,56,3,0
Warehousing and storage,201,42,9,9,11,8,1,6
Communication,246,66,18,3,0,134,14,10
"Heat, light, power, water, and sanitary services",155,36,9,1,0,94,6,6
Services,395,133,39,3,1,194,19,6
