Division and State,All cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Representation cases / RC,Representation cases / RM,Representation cases / RD
Total,14041,4373,1257,250,85,7028,568,480
New England,807,279,48,18,8,393,31,30
Maine,44,16,5,0,0,20,3,0
New Hampshire,39,11,0,0,1,25,2,0
Vermont,12,4,0,0,0,8,0,0
Massachusetts,446,159,22,8,2,224,19,12
Rhode Island,70,17,12,3,0,32,5,1
Connecticut,196,72,9,7,3,84,11,17
Middle Atlantic,1913,681,341,55,12,873,55,23
New York,629,176,165,45,3,355,17,23
New Jersey,789,243,79,6,0,391,,
East North Central,2835,868,245,22,20,1511,91,83
Ohio,742,303,55,8,2,422,30,24
Indiana,422,146,45,2,2,198,13,16
Illinois,759,241,72,10,11,386,28,11
Michigan,632,201,60,2,5,324,16,24
Wisconsin,280,72,13,2,0,181,4,8
West North Central,1176,290,64,13,0,723,41,40
Minnesota,104,20,8,0,0,68,5,3
Iowa,239,37,19,2,1,169,9,11
Missouri,563,169,41,8,0,335,20,10
North Dakota,12,3,0,1,0,10,0,1
South Dakota,33,7,0,0,0,38,0,4
Nebraska,67,21,0,0,0,44,0,2
Kansas,126,33,1,1,0,63,5,13
South Atlantic,1241,436,91,28,7,572,54,53
Delaware,19,5,0,0,0,14,0,0
Maryland,145,34,17,6,1,71,3,5
District of Columbia,77,22,4,0,2,42,3,4
Virginia,149,52,10,1,0,68,8,9
West Virginia,102,40,17,5,3,39,0,2
North Carolina,183,90,2,1,0,70,8,12
South Carolina,60,31,3,0,0,22,0,4
Georgia,200,66,20,3,1,97,8,5
Florida,304,96,18,10,0,149,19,12
East South Central,720,228,50,11,4,379,21,26
Kentucky,159,47,9,4,2,88,3,6
Tennessee,347,111,22,3,0,183,6,12
Alabama,155,46,10,1,1,76,11,7
Mississippi,59,24,1,1,0,32,1,1
West South Central,1024,315,55,25,6,532,45,45
Arkansas,113,46,0,0,0,52,7,8
Louisiana,217,67,18,8,2,112,5,5
Oklahoma,93,25,7,2,0,45,4,10
Texas,601,177,30,20,4,323,24,22
Mountain,484,174,37,6,4,221,25,17
Montana,37,9,8,0,2,17,1,0
Idaho,76,37,5,0,0,26,3,5
Wyoming,14,5,4,0,0,5,0,0
Colorado,119,33,4,0,0,69,12,2
New Mexico,84,47,8,6,0,24,2,0
Arizona,82,20,4,0,2,47,5,4
Utah,37,8,1,0,0,26,0,2
Nevada,35,9,3,0,0,19,2,2
Pacific,1950,612,245,65,5,859,102,82
Washington,395,114,44,8,1,165,22,11
Oregon,229,85,21,4,0,91,14,13
California,1416,413,180,33,3,663,66,58
Outlying areas,473,139,54,6,0,219,17,6
Alaska,77,19,25,1,0,29,3,0
Hawaii,65,12,1,1,0,48,0,3
Puerto Rico,331,139,28,4,0,142,,3
