Method and stages of disposition,All R cases / Number of cases,All R cases / Percent of cases closed,RC cases / Number of cases,RC cases / Percent of cases closed,RM cases / Number of cases,RM cases / Percent of cases closed,RD cases / Number of cases,RD cases / Percent of cases closed
Total number of cases closed,7975,100.0,6969,100.0,546,100.0,460,100.0
Consent election,2422,30.3,2247,32.2,117,21.5,58,12.6
Before notice of hearing,1376,17.2,1278,18.3,75,13.8,23,5.0
"After notice of hearing, before hearing opened",939,11.8,866,12.4,40,7.3,33,7.2
"After hearing opened, before Board decision",107,1.3,103,1.5,2,.4,2,.4
Stipulated election,1071,13.4,984,14.1,63,11.5,24,5.2
Before notice of hearing,454,5.7,406,5.8,36,6.6,12,2.6
"After notice of hearing, before hearing opened",535,6.7,502,7.2,22,4.0,11,2.4
"After hearing opened, before Board decision",73,.9,68,1.0,4,.7,1,.2
After post-election hearing and decision,9,.1,8,.1,1,.2,0,0
Recognition,104,1.3,87,1.2,17,3.1,,
Before notice of hearing,44,.5,37,.5,7,1.3,,
"After notice of hearing, before hearing opened",60,.8,50,.7,10,1.8,,
Withdrawn,2023,25.3,1694,24.3,174,31.9,155,33.7
Before notice of hearing,975,12.2,803,11.5,94,17.2,78,17.0
"After notice of hearing, before hearing opened",811,10.2,668,9.6,73,13.4,70,15.2
"After hearing opened, before Board decision",138,1.7,128,1.8,5,.9,5,1.1
After Board decision and direction of election,99,1.2,95,1.4,2,.4,2,.4
Dismissed,1005,12.7,734,10.6,117,21.4,154,33.5
Before notice of hearing,443,5.6,275,4.0,69,12.6,99,21.5
"After notice of hearing, before hearing opened",152,1.9,115,1.7,20,3.7,17,3.7
"After hearing opened, before Board decision",28,.4,16,.2,1,.1,6,1.3
By Board decision,382,4.8,328,4.7,22,4.0,32,7.0
Board-ordered election,1347,16.9,1221,17.5,58,10.6,68,14.8
Otherwise,3,.1,3,.0,0,0,0,0
