Affiliation of participating unions,Number of elections / Total,Number of elections / In which representation rights were won by — A.F.L. affiliates,Number of elections / In which representation rights were won by — C.I.O. affiliates,Number of elections / In which representation rights were won by — Unaffiliated unions,Number of elections / In which no representative was chosen,Number of employees involved (number eligible to vote) / Total,Number of employees involved (number eligible to vote) / In units at which representation rights were won by — A.F.L. affiliates,Number of employees involved (number eligible to vote) / In units at which representation rights were won by — C.I.O. affiliates,Number of employees involved (number eligible to vote) / In units at which representation rights were won by — Unaffiliated unions,Number of employees involved (number eligible to vote) / In units where no representative was chosen
Total,4663,1925,780,351,1603,511430,136587,117473,89032,168338
1-union elections,2579,1539,,,1020,142127,72329,,,69868
A.F.L. (1-union),962,962,,,395,72329,72329,,,22326
C.I.O. (1-union),,,567,,235,,,52329,,
Unaffiliated (1-union),261,,,261,117,51678,,,18902,2876
2-union elections,371,147,156,4,64,87613,32188,30683,,18740
A.F.L.-C.I.O. (2-union),134,,,,20,31508,13757,13727,,6180
A.F.L.-A.F.L. (2-union),171,147,,,24,35825,15929,,,6159
3-union elections,21,6,5,5,5,19326,553,5809,12745,120
4-union elections,,,,,,990,405,265,,
