Affiliation of participating unions,Employees eligible to vote,Total valid votes cast,Percent casting valid votes,Valid votes cast for losing unions / A.F.L. affiliates,Valid votes cast for losing unions / C.I.O. affiliates,Valid votes cast for losing unions / Unaffiliated unions,Valid votes cast for no union
Total,168338,153724,91.3,25370,25705,1558,101091
1-union elections,,,,,,,
A.F.L.,69868,63875,91.4,20597,,,43278
C.I.O.,70136,63885,91.1,,22353,,41532
Unaffiliated,2876,2512,87.3,,,821,1691
2-union elections,,,,,,,
A.F.L.-C.I.O.,18740,17559,93.7,3220,3213,,11126
A.F.L.-Unaffiliated,1300,1242,91.3,104,,456,682
A.F.L.-A.F.L.,1789,1541,86.1,593,,,948
C.I.O.-Unaffiliated,860,714,83.0,,98,182,434
Unaffiliated-Unaffiliated,4,2,50.0,,,2,0
3-union elections,,,,,,,
A.F.L.-C.I.O.-Unaffiliated,129,118,91.5,2,13,34,69
A.F.L.-A.F.L.,1399,1299,92.9,448,,,851
A.F.L.-A.F.L.-C.I.O.,258,245,95.0,105,28,,112
4-union elections,,,,,,,
A.F.L.-A.F.L.-A.F.L.-Unaffiliated,919,732,79.7,301,,63,368
