Unit size (number of employees),Group 1 / Number,Group 1 / Percent of total,Group 2 / Number,Group 2 / Percent of total,Group 3 / Number,Group 3 / Percent of total,Group 4 / Number,Group 4 / Percent of total,Group 5 / Number,Group 5 / Percent of total
Total,150,100.0,29,100.0,14,100.0,5,100.0,102,100.0
1-9,30,20.0,3,10.3,0,0,1,20.0,26,25.5
10-19,31,20.7,4,13.8,0,0,0,0,27,26.5
20-29,16,10.7,5,17.2,4,28.6,0,0,7,6.8
30-39,14,9.3,1,3.4,1,7.1,1,20.0,11,10.8
40-49,9,6.0,0,0,2,14.3,0,0,7,6.8
50-59,5,3.3,1,3.4,0,0,0,0,4,3.9
60-69,6,4.0,5,17.2,1,7.1,0,0,0,0
70-79,7,4.7,1,3.5,1,7.2,1,20.0,4,3.9
80-89,8,5.3,5,17.2,0,0,1,20.0,2,2.0
90-99,3,2.0,1,3.5,0,0,0,0,2,2.0
100-149,8,5.3,1,3.5,1,7.2,1,20.0,5,4.9
150-199,2,1.3,0,0,0,0,0,0,2,2.0
200-299,5,3.3,1,3.5,2,14.3,0,0,2,2.0
300-399,1,.7,0,0,1,7.1,0,0,0,0
400 and over,5,3.4,1,3.5,1,7.1,0,0,3,2.9
