Division and State,Number of elections / Total,Number of elections / In which representation rights were won by — A.F.L. affiliates,Number of elections / In which representation rights were won by — C.I.O. affiliates,Number of elections / In which representation rights were won by — Unaffiliated unions,Number of elections / In which no representative was chosen,Employees eligible to vote,Total valid votes cast,Valid votes cast for / A.F.L. affiliates,Valid votes cast for / C.I.O. affiliates,Valid votes cast for / Unaffiliated unions,Valid votes cast for / No union,Employees choosing representation
Total,4663,1925,780,351,1603,511430,449673,128100,118138,68463,134972,343092
New England,281,98,33,25,125,51677,45220,7171,16578,10003,12308,37101
Maine,19,4,0,0,8,8062,3113,344,780,0,1991,2207
Middle Atlantic,932,376,175,90,285,114206,101258,32700,23653,15963,29002,74743
New York,461,209,59,40,153,,,20800,10752,8177,6489,
East North Central,1084,418,223,92,261,133408,116303,25569,36123,16977,31832,95330
Ohio,318,120,61,24,104,,,,,,,
Indiana,134,49,25,9,30,,,,,,,
Illinois,260,113,20,27,62,,,,,,,
Michigan,227,82,84,19,42,,,,,,,
Wisconsin,139,54,33,13,23,,,,,,,
West North Central,535,233,60,37,149,32328,28520,11635,6774,2639,7671,23706
