row_label,Section / Subsection,Number of cases showing specific allegations,Percent of total cases,Section / Subsection (right panel),Number of cases showing specific allegations (right),Percent of total cases (right)
A. CHARGES FILED AGAINST EMPLOYERS UNDER SEC. 8(a),,,,,,
Total cases,4362,100.0,8(a)(3),3089,70.8,
8(a)(1),4362,100.0,8(a)(4),99,2.3,
8(a)(2),403,9.2,8(a)(5),1213,27.8,
B. CHARGES FILED AGAINST UNIONS UNDER SEC. 8(b),,,,,,
Total cases,1809,100.0,8(b)(3),145,8.0,
8(b)(1),1145,63.3,8(b)(4),427,23.6,
8(b)(2),1145,63.3,8(b)(5),14,.8,
8(b)(6),,,8(b)(6),14,.8,
C. ANALYSIS OF 8(b)(1) AND 8(b)(4),,,,,,
Total cases 8(b)(1),1145,100.0,Total cases 8(b)(4),427,100.0,
8(b)(1)(A),1129,98.6,8(b)(4)(A),303,71.0,
8(b)(1)(B),19,1.7,8(b)(4)(B),124,29.0,
8(b)(4)(C),,,8(b)(4)(C),39,9.1,
8(b)(4)(D),,,8(b)(4)(D),82,19.2,
