Formal action taken,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA cases,Unfair labor practice cases — Other C cases,Representation cases
Complaints issued,497,497,287,210,
Notices of hearing issued,3709,24,0,24,3685
Cases heard,2299,404,246,158,1895
Intermediate reports issued,416,416,287,129,
"Decisions issued, total",2571,526,361,165,2045
Decisions and orders,461,461,336,125,
Decisions and consent orders,65,65,25,40,
Elections directed,1547,,,,1547
Rulings on objections and/or challenges in stipulated election cases,97,,,,97
Dismissals on record,401,,,,401
