Stage of disposition,All C cases — Number of cases,All C cases — Percent of cases closed,CA cases — Number of cases,CA cases — Percent of cases closed,CB cases — Number of cases,CB cases — Percent of cases closed,CC cases — Number of cases,CC cases — Percent of cases closed,CD cases — Number of cases,CD cases — Percent of cases closed
Total number of cases closed,6171,100.0,4459,100.0,1332,100.0,302,100.0,78,100.0
Before issuance of complaint,5329,86.4,3846,86.3,1166,87.5,244,80.8,73,93.6
"After issuance of complaint, before opening of hearing",180,2.9,109,2.4,43,3.2,27,8.9,1,1.3
"After hearing opened, before issuance of intermediate report",77,1.2,43,1.0,18,1.4,13,4.3,3,3.8
"After intermediate report, before issuance of Board decision",51,.8,33,.7,16,1.2,2,.7,0,.0
After Board order adopting intermediate report in absence of exceptions,35,.6,25,.6,9,.7,1,.3,0,.0
"After Board decision, before court decree",239,3.9,196,4.4,36,2.7,6,2.0,1,1.3
After Board order adopting intermediate report followed by circuit court decree,17,.3,10,.2,4,.3,1,.0,0,.0
"After circuit court decree, before Supreme Court action",185,3.0,147,3.3,32,2.4,6,2.0,0,.0
After Supreme Court action,58,.9,50,1.1,8,.6,0,.0,0,.0
