Stage and method of disposition,All C cases — Number,All C cases — Percent,CA cases — Number,CA cases — Percent,CB cases — Number,CB cases — Percent,CC cases — Number,CC cases — Percent,CD cases — Number,CD cases — Percent
After Board order adopting intermediate report in absence of exceptions,35,.6,25,.6,9,.7,1,.3,0,.0
After Board order — Compliance,16,.3,6,.1,5,.4,0,.0,0,.0
After Board order — Dismissed,19,.3,10,.2,4,.3,1,.3,0,.0
"After Board decision, before court decree",239,3.9,196,4.4,36,2.7,6,2.0,1,1.3
After Board decision — Compliance,117,2.0,88,2.0,24,1.8,6,2.0,1,1.3
After Board decision — Withdrawn,1,,1,,0,.0,0,.0,0,.0
After Board decision — Dismissed,118,1.9,106,2.4,12,.9,0,.0,0,.0
After Board order adopting intermediate report followed by circuit court decree,17,.3,10,.2,4,.3,3,1.0,0,.0
"After circuit court decree, before Supreme Court action",185,3.0,147,3.3,32,2.4,6,2.0,0,.0
After circuit court decree — Compliance,137,2.2,101,2.3,30,2.2,6,2.0,0,.0
After circuit court decree — Dismissed,40,.7,38,.9,2,.2,0,.0,0,.0
After Supreme Court denied writ of certiorari,50,.8,43,1.0,7,.5,0,.0,0,.0
After Supreme Court opinion compliance,8,.1,7,.2,1,.1,0,.0,0,.0
